CHILD,SEX,DOB,DUC
839053,2,28/10/2001,24/10/2019
836225,1,07/12/2004,03/12/2022
590883,2,18/03/2005,14/03/2023
981734,1,06/06/2009,02/06/2027
34427,2,09/12/2010,04/12/2028
736591,1,18/04/2001,14/04/2019
332574,1,20/03/2008,16/03/2026
876951,2,29/10/2010,24/10/2028
220780,2,30/12/2012,26/12/2030
664449,2,03/09/2003,29/08/2021
747423,2,17/02/2000,12/02/2018
845037,2,06/03/2006,01/03/2024
280820,2,08/12/2008,04/12/2026
899409,1,08/10/2010,03/10/2028
489236,2,11/06/2003,06/06/2021
606165,2,23/08/2008,19/08/2026
249673,1,01/06/2001,28/05/2019
679141,,11/10/1998,06/10/2016
296961,1,24/06/2007,19/06/2025
188773,1,04/12/2005,30/11/2023
177481,2,25/11/1998,20/11/2016
26624,1,11/11/2010,06/11/2028
714598,2,18/08/2004,14/08/2022
556538,1,07/04/2008,03/04/2026
799381,2,16/04/2005,12/04/2023
991095,1,19/08/1998,14/08/2016
463739,2,12/03/2005,08/03/2023
755685,1,09/01/2011,04/01/2029
617348,1,16/08/2006,11/08/2024
187453,1,18/07/2000,14/07/2018
47940,1,24/05/2005,20/05/2023
977329,1,12/02/2003,07/02/2021
992139,1,23/04/2006,18/04/2024
280448,1,12/09/2010,07/09/2028
501652,1,02/11/2002,28/10/2020
542381,1,26/10/2007,21/10/2025
307474,2,,03/06/2018
832167,2,03/07/2006,28/06/2024
920461,1,27/09/2001,23/09/2019
996857,2,24/12/2009,20/12/2027
836844,2,06/08/2001,02/08/2019
800901,1,07/09/1999,02/09/2017
176703,2,28/02/2006,24/02/2024
278374,2,18/11/2007,13/11/2025
374352,1,03/07/2000,29/06/2018
682081,2,28/05/2001,24/05/2019
992568,2,09/07/2001,05/07/2019
64174,2,18/04/2011,13/04/2029
199892,2,02/02/2007,28/01/2025
725318,2,24/09/2006,19/09/2024
46850,2,26/08/2004,22/08/2022
434682,1,04/10/1999,29/09/2017
752535,1,15/12/2011,10/12/2029
627143,1,14/12/2003,09/12/2021
258184,1,01/06/2002,27/05/2020
915455,1,08/05/2012,04/05/2030
645714,1,20/12/2011,15/12/2029
848415,1,02/02/2005,29/01/2023
248092,1,09/11/2002,04/11/2020
819293,2,17/05/1999,12/05/2017
464474,2,30/03/2008,26/03/2026
584400,2,28/04/1998,23/04/2016
475527,2,21/08/2001,17/08/2019
295180,2,,04/09/2028
465927,1,26/08/2004,22/08/2022
314214,2,27/10/1999,22/10/2017
219263,2,12/11/2003,07/11/2021
658850,1,30/12/2002,25/12/2020
588082,1,24/11/2008,20/11/2026
584730,2,28/07/1999,23/07/2017
423449,1,06/12/2009,02/12/2027
567809,2,25/05/2010,20/05/2028
622037,2,04/01/2000,30/12/2017
160349,2,11/02/2001,07/02/2019
229859,2,20/08/1999,15/08/2017
432904,1,13/10/2001,09/10/2019
402913,1,24/01/2000,19/01/2018
45784,2,23/12/2002,18/12/2020
916420,2,01/06/2007,27/05/2025
973530,2,08/01/2009,04/01/2027
129611,2,07/04/2006,02/04/2024
205405,1,07/04/2008,03/04/2026
277960,2,17/01/2010,13/01/2028
494015,2,05/06/2000,01/06/2018
372549,1,01/03/2011,
662622,1,23/04/2002,18/04/2020
302264,1,16/12/2006,11/12/2024
947850,2,31/08/2003,26/08/2021
529140,1,21/03/2007,16/03/2025
800682,1,13/10/2011,08/10/2029
327690,2,09/06/2012,05/06/2030
246398,1,28/03/2010,23/03/2028
41006,2,12/05/2010,07/05/2028
923092,1,24/10/2004,20/10/2022
741729,1,26/10/2009,22/10/2027
784042,1,31/03/2002,26/03/2020
544464,1,01/01/2008,27/12/2025
261581,2,20/02/2003,15/02/2021
33088,1,03/09/2011,29/08/2029
102308,2,06/09/2000,02/09/2018
346553,2,01/07/2003,26/06/2021
105769,2,16/11/2007,11/11/2025
44010,2,12/02/2008,07/02/2026
287720,2,24/02/2012,19/02/2030
21196,1,15/05/2012,11/05/2030
196609,2,08/09/1999,03/09/2017
180682,1,05/06/2005,01/06/2023
651559,2,23/05/1998,18/05/2016
710801,2,04/08/1999,30/07/2017
924076,1,07/07/2011,02/07/2029
161396,1,09/02/2000,04/02/2018
66248,2,30/06/2004,
67967,2,17/12/2012,13/12/2030
978907,2,06/06/2006,01/06/2024
538982,2,22/02/2003,17/02/2021
498369,2,16/12/1998,11/12/2016
425584,2,15/04/2002,10/04/2020
221666,2,28/02/2004,23/02/2022
312063,2,06/10/2011,01/10/2029
439844,2,17/03/2007,12/03/2025
638311,2,19/12/2004,15/12/2022
436842,1,23/03/2009,19/03/2027
226535,2,13/08/2000,09/08/2018
550784,1,07/07/2001,03/07/2019
928211,2,11/05/2011,06/05/2029
630895,2,17/10/1998,12/10/2016
238412,2,29/10/2006,24/10/2024
538177,1,28/05/2006,23/05/2024
79406,2,11/08/2011,06/08/2029
563306,1,27/11/2000,23/11/2018
918950,1,01/11/2010,27/10/2028
420954,2,26/06/2005,22/06/2023
351921,1,08/11/2010,03/11/2028
307400,2,15/02/2011,10/02/2029
192985,1,26/05/2008,22/05/2026
963210,2,11/04/2010,06/04/2028
994259,1,12/10/2000,08/10/2018
853171,2,26/07/1999,21/07/2017
441315,2,17/01/2010,13/01/2028
672804,2,24/08/2003,19/08/2021
782814,1,06/04/2004,02/04/2022
271594,2,27/03/2006,22/03/2024
130705,1,23/12/2012,19/12/2030
646,2,28/11/2005,24/11/2023
718635,1,26/05/2006,21/05/2024
650834,2,27/03/2005,23/03/2023
919208,2,14/11/2012,10/11/2030
688323,2,04/04/2001,31/03/2019
15785,2,30/10/2002,25/10/2020
312289,1,24/11/2006,19/11/2024
465450,2,03/07/2011,28/06/2029
589493,2,31/05/2008,27/05/2026
98771,1,26/02/1999,21/02/2017
425525,1,25/03/2003,20/03/2021
575427,1,16/11/2008,12/11/2026
213670,1,21/09/2007,16/09/2025
600606,1,15/02/2001,11/02/2019
341843,2,28/12/2009,24/12/2027
608807,1,18/08/2001,14/08/2019
758351,1,29/12/2008,25/12/2026
949926,1,15/09/1999,10/09/2017
319853,2,09/04/1999,04/04/2017
958549,1,14/04/2011,09/04/2029
49644,1,20/08/2011,15/08/2029
993307,1,10/07/2005,06/07/2023
469901,2,22/05/2000,18/05/2018
509335,2,26/08/2006,21/08/2024
135986,2,13/01/2009,09/01/2027
927382,2,10/10/2003,05/10/2021
156046,1,30/12/1999,25/12/2017
676313,2,15/03/2000,11/03/2018
488956,1,31/03/2009,27/03/2027
589800,2,27/07/2001,23/07/2019
417949,1,06/02/2011,01/02/2029
402430,2,25/09/2011,20/09/2029
932455,2,21/11/2007,16/11/2025
803164,2,28/09/2004,24/09/2022
105306,2,14/06/2004,10/06/2022
41807,1,07/11/2011,02/11/2029
785558,1,07/01/2006,03/01/2024
712800,1,20/02/2006,16/02/2024
658952,2,12/04/2011,07/04/2029
127053,2,06/01/2010,02/01/2028
269154,1,12/04/2002,07/04/2020
219781,1,26/07/2012,22/07/2030
286397,1,03/09/2010,29/08/2028
590091,1,24/02/2005,20/02/2023
300085,1,29/01/2002,25/01/2020
824586,2,22/04/2006,17/04/2024
984738,2,29/08/1999,24/08/2017
574915,2,25/11/2001,21/11/2019
884656,2,07/04/2005,03/04/2023
452615,1,13/08/2010,08/08/2028
5379,1,15/09/1999,10/09/2017
83993,2,06/01/2010,02/01/2028
399935,2,29/03/2001,25/03/2019
238301,2,01/07/2010,26/06/2028
895116,2,22/11/2008,18/11/2026
225564,1,17/10/1999,12/10/2017
922679,2,10/08/2008,06/08/2026
230358,1,31/01/2011,26/01/2029
328447,1,29/02/2000,24/02/2018
200633,1,28/04/2007,23/04/2025
237853,1,11/05/2001,07/05/2019
219029,1,11/08/2005,07/08/2023
598178,2,01/02/2000,27/01/2018
419215,1,15/06/2000,11/06/2018
187447,1,01/11/2002,27/10/2020
757378,2,04/11/2006,30/10/2024
917698,2,26/09/2008,22/09/2026
637063,1,09/09/2012,05/09/2030
489181,1,13/12/2001,09/12/2019
936459,2,14/03/2004,10/03/2022
745856,1,10/12/2002,05/12/2020
342747,2,12/06/2000,08/06/2018
855686,2,12/10/2008,08/10/2026
704196,1,04/02/2000,30/01/2018
75900,1,25/05/1998,20/05/2016
741144,2,29/05/2005,25/05/2023
824561,2,29/12/2010,24/12/2028
485345,1,19/02/2001,15/02/2019
908134,2,29/06/2009,25/06/2027
222483,2,10/09/2003,05/09/2021
832943,1,22/09/2009,18/09/2027
327542,2,18/06/2004,14/06/2022
538825,1,12/08/2003,07/08/2021
295197,1,09/01/2000,04/01/2018
342267,1,06/02/2000,01/02/2018
264712,2,27/03/2005,23/03/2023
996128,1,02/12/2005,28/11/2023
535998,2,08/03/2008,04/03/2026
375281,1,21/07/1999,16/07/2017
531858,2,01/08/2011,27/07/2029
453108,2,05/09/2009,01/09/2027
81804,1,10/12/2007,05/12/2025
799163,1,05/11/1998,31/10/2016
648600,1,21/12/2012,17/12/2030
508034,2,12/02/2003,07/02/2021
236412,2,30/04/2004,26/04/2022
374264,1,06/08/1999,01/08/2017
