CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
847077,1,30/12/2012,CHNE,L071677328500,,
226598,1,05/06/1999,AIND,M046493819942,,
116319,2,02/10/2004,BAFR,K003834528633,,
701898,1,02/12/2000,OOTH,D075849034616,,
903667,2,08/03/2007,MWAS,H034518997354,,
471138,1,17/01/2009,OOTH,E054875571410,,
155214,1,21/02/2011,APKN,K000037560232,,
611892,1,10/04/2003,MWBA,V045780650336,,
890344,,28/08/2006,,R052975415965,,
176312,1,26/11/1998,AOTH,P095504843154,,
95559,2,11/05/2006,BOTH,Q065035354160,,
559556,1,21/10/2004,BAFR,E097783794514,,
192948,1,29/09/2012,WIRI,L020416841110,,
570449,2,16/08/2004,MWBC,H061216593021,,
115698,1,14/12/1998,WROM,O085277097720,,
28447,1,09/03/2012,WIRI,P091077005493,,
168386,1,25/02/2002,WROM,C002034057940,,
792995,1,12/09/2009,BOTH,T046815260826,,
924830,2,24/06/2010,MWAS,T045729916143,,
851070,2,,MWBC,Y006975709112,,
956829,1,03/04/2003,AOTH,M049383386599,,
371139,2,08/02/2012,AOTH,E049078739634,,
161187,2,14/05/2008,WIRI,L059924784302,,
509098,1,08/12/2004,APKN,Y003482791959,,
976449,1,02/08/2007,WIRI,S051115894075,,
13805,1,16/01/2001,BOTH,B079930989457,,
595772,1,27/04/2011,WIRT,R017503595863,,
303190,1,12/09/2005,MWBA,R006889793430,,
755581,1,25/11/2010,REFU,S064313657487,,
159892,2,02/11/2010,OOTH,J063472130503,,
300968,2,19/06/2000,BAFR,R006475738571,,
631760,2,30/06/2008,WIRI,E044964957362,,
213019,2,02/06/2005,MWAS,Y054781477476,,
75970,1,17/09/2007,WROM,N020539847325,,
567099,2,04/12/2002,OOTH,U028600350874,,
648071,2,29/04/2010,WOTH,M094184266094,,
864349,1,17/10/2009,WIRT,H000504233348,,
34885,2,29/05/1999,OOTH,C054666547485,,
815046,1,22/07/2007,WIRT,R098805803337,,
806988,1,25/06/2007,CHNE,L042551469762,,
974330,2,11/09/2010,WIRI,R044361706874,,
952296,2,15/11/2007,WROM,A007999094128,,
538016,2,15/01/2002,MWAS,L001879785646,,
571415,2,01/12/2008,WOTH,H028875771754,,
538130,2,05/08/2000,WOTH,M049468465902,,
950015,2,29/11/2000,WIRI,N051842722685,,
199672,2,05/04/2002,MWBC,T057489121204,,
546422,1,15/12/2006,AOTH,S016093070749,,
632179,1,07/02/1999,OOTH,P046906174502,,
261961,2,02/12/2012,BCRB,D008930601857,,
744916,2,01/12/2002,BCRB,G049394025287,,
453022,1,28/02/2008,BAFR,D078974126333,,
895120,2,20/09/2007,OOTH,K036881412197,,
315980,2,09/03/2011,WBRI,E072221713319,,
377309,1,02/06/2004,REFU,J055774205602,,
713175,2,19/12/2012,AIND,A085479864788,,
733805,2,18/04/2002,APKN,K037838815336,,
503505,1,21/06/2003,BCRB,U054165735121,,
250151,2,17/01/2009,CHNE,M019308639236,,
430168,1,01/08/1999,MWBC,Z051572531756,,
595935,1,29/07/2000,BAFR,P042399850021,,
915990,2,12/11/2010,BCRB,Y071279431095,,
140856,2,07/06/2012,ABAN,F092576684111,,
832433,1,29/01/2010,NOBT,S053078806309,,
818637,2,06/07/2010,BOTH,M045041422989,,
308407,1,05/04/2009,OOTH,A004822146591,,
200628,1,03/05/2010,WBRI,W030808701535,,
337850,1,01/12/2005,APKN,Q056677415646,,
652254,2,01/09/2003,BOTH,Y006680456767,,
588315,2,09/03/2005,MOTH,S032997098930,,
993150,1,04/09/2008,ABAN,P043525168212,,
646265,1,04/02/2004,WIRT,S020695927066,,
619755,2,17/10/2003,BCRB,Y002669810224,,
77164,1,24/01/1999,WOTH,K034414606975,,
179969,2,12/04/1998,ABAN,P054316617871,,
184181,2,16/11/2004,BOTH,C052615105878,,
884723,1,19/01/2000,MWBA,M011527178969,,
563147,2,09/03/2002,MOTH,B096693780681,,
625371,1,07/12/2010,REFU,J055056501349,,
837592,2,25/08/2003,REFU,R080892143743,,
823307,1,23/10/2007,MOTH,H079126391167,,
336378,2,03/09/2005,OOTH,V030636621031,,
420620,1,07/07/2012,OOTH,K094761622340,,
724796,1,21/05/1998,NOBT,A000354509519,,
206119,2,10/07/2001,OOTH,R051929574601,,
698091,1,28/10/1999,NOBT,U055382976027,,
871532,2,18/03/2011,ABAN,H026503009025,,
903396,2,03/07/2011,WIRI,G090252693100,,
393105,2,03/04/2010,BAFR,O030871268113,,
385621,1,05/10/1999,AOTH,J054064397049,,
498630,1,11/08/2009,BCRB,T030548965743,,
209248,2,21/04/2000,APKN,Z065643500287,,
331050,1,24/10/2005,BOTH,L098989277955,,
902849,2,22/11/2004,WOTH,R046657497912,1,04/03/2020
226174,1,12/09/2006,MWBC,C053168457964,,
925248,1,22/05/1999,MWBC,B062911506839,,
57857,2,02/06/2012,BCRB,F043364954451,,
913283,1,30/06/2004,MWAS,Q092236065874,,
204802,1,16/08/2005,WROM,F056722635625,,
277412,2,29/05/1999,REFU,D061079596863,,
298738,2,19/03/2005,WBRI,N012292998775,,
112496,1,20/11/2008,BCRB,Q081589937119,,
663672,2,10/09/2004,MOTH,P098675186049,,
299443,2,28/05/2012,WBRI,W008778251210,,
506281,2,12/10/2010,AOTH,F047443780149,,
236973,2,17/01/2002,BCRB,Z014258029890,,
651807,2,01/11/1999,WOTH,L087332792029,,
567283,2,07/01/2003,MWBA,B083829405789,,
229231,1,29/10/2010,MWBC,Q002311149391,,
149386,1,17/09/1998,MWBA,E096782128891,,
454873,1,29/09/2007,WROM,H049539100196,,
176585,2,28/11/2009,ABAN,C051262314183,,
527624,1,09/10/2004,BOTH,M091366866481,,
303992,2,04/04/2001,AOTH,P069671798565,,
658165,1,01/11/1999,WIRI,R021418529026,,
170230,2,05/01/2012,MOTH,Y000847642140,,
164867,1,29/05/2006,AIND,C096472310074,,
260072,2,06/05/2005,APKN,Y093210208699,,
117896,1,06/07/2011,CHNE,N041679378265,,
956973,1,23/09/2010,CHNE,W009463846904,,
662424,2,30/09/2004,AOTH,F057473028012,,
205870,1,15/06/2010,MWBC,R022689367106,,
298841,1,01/01/2006,NOBT,T061744037113,,
476659,1,01/07/2001,BAFR,S033540895616,,
256168,1,12/07/2000,MWBC,S001011335127,,
606036,2,27/11/2011,MWBC,B041403782424,,
890021,1,08/12/2004,MWBC,E075652316122,,
49299,2,02/02/2004,REFU,O052578173985,,
539019,2,07/06/2010,MOTH,B003474445817,,
943371,2,27/09/2002,MOTH,K054031921355,,
172495,2,14/06/2006,BAFR,W072712178203,,
804807,2,17/01/2012,MWBC,R063198559747,,
517856,1,18/10/1999,REFU,F038278641983,,
514148,1,25/01/2005,MWAS,W049496755960,,
374214,1,15/06/2011,ABAN,P021089673275,,
62172,2,20/09/1998,ABAN,Y036776574702,,
710961,2,25/03/2010,REFU,E082118627372,,
392516,2,23/11/2007,NOBT,N098228399453,,
973471,2,25/11/2011,MWBA,H078951992527,,
236103,2,14/08/2001,NOBT,D097949939375,,
987958,1,14/11/2008,WIRI,Q014999466761,,
104331,1,22/09/1999,AIND,F024127861500,,
761900,2,06/03/2005,AIND,A074586368460,,
431856,2,04/02/2010,WBRI,E077761077069,,
180054,1,13/10/2001,WIRI,Z012346425645,,
847767,2,07/03/2007,APKN,V009598145182,,
315573,1,14/12/2007,ABAN,E044467018398,,
592906,1,31/10/2012,CHNE,M056505407866,,
394913,1,19/11/2010,MWAS,Y057854567665,,
481649,2,14/05/2008,NOBT,N093933363701,,
655808,2,10/11/2004,MWBC,M089306025732,,
140437,1,28/03/2010,WBRI,W033074249922,,
51639,1,12/07/2008,MWBC,K081744434946,,
365277,1,29/05/2012,APKN,J051195440477,,
230422,1,05/09/2004,WOTH,J057148097360,,
342788,1,02/06/2012,WBRI,E044602291343,,
980674,2,18/03/2001,NOBT,X083418733865,,
861238,1,16/02/2009,WIRI,I026100800057,,
477135,1,26/06/2004,BOTH,N038349675193,,
755518,2,28/05/2005,BAFR,E021485231936,,
954457,1,30/04/2011,MWBC,O037849371743,,
855448,2,09/06/1999,BCRB,Z032694539036,,
602069,2,22/09/2003,BOTH,U078512014975,,
92035,1,27/08/2003,BAFR,Y095489470556,,
731471,1,25/10/1998,AIND,H091005744587,,
763417,2,19/12/2012,CHNE,Z088636492425,,
512197,1,15/07/2002,APKN,A018241123046,,
17832,2,13/08/2009,WBRI,F070648600984,,
835967,1,04/04/2001,MWAS,X071262058742,,
463153,1,01/10/2002,MWAS,L065266438474,,
67796,2,05/01/2010,WBRI,F047741761405,,
911252,2,26/07/2010,WROM,R041564381537,,
487397,1,11/12/2011,WBRI,E004656315390,,
707180,1,01/09/2001,APKN,O046792206660,,
716981,2,28/04/2011,OOTH,W041171770881,,
560027,1,15/04/2008,ABAN,X083023616481,,
210123,1,06/03/2012,BAFR,Q029950567028,,
950997,2,04/11/2006,MOTH,V007232783871,,
832169,2,11/11/2004,MWBC,S025698645552,,
658222,2,12/11/2005,MOTH,U029151888943,,
194902,2,28/03/2010,REFU,H012204970399,,
927898,2,31/12/2006,BOTH,S067778537975,,
499527,1,19/09/2003,MWAS,T066806485170,,
918531,2,24/05/2012,BOTH,J015129906684,,
325629,1,21/09/2002,MWAS,O007758469685,,
553325,2,29/10/2000,MWAS,L026665563037,,
413382,2,02/09/2012,WROM,Z015596956991,,
881823,1,06/05/2009,OOTH,U035634038299,,
746130,2,21/02/2012,AOTH,X020038416430,,
19526,1,26/07/2012,REFU,Y031482148482,,
90127,2,23/01/2004,WIRI,Y015797230888,,
512668,1,10/02/2001,BCRB,L071390927093,,
752645,1,21/09/2008,OOTH,B046704269901,,
916105,1,02/11/2005,BOTH,C083631577033,,
229922,2,02/10/2003,NOBT,M013836704918,,
143787,1,16/07/2004,AIND,F001830426662,,
749249,1,07/04/2005,BAFR,N071824656358,,
158211,1,17/07/2000,APKN,W083476362301,,
587457,1,13/02/2009,BCRB,D063154956637,,
323837,2,05/12/1998,OOTH,S049935713372,,
171478,2,29/07/1999,NOBT,X057366158059,,
369607,2,29/09/1998,AOTH,N075066620205,,
915687,1,04/01/2008,MWBC,J096044948930,,
303678,2,10/07/2003,WIRT,C047738096680,,
39416,2,28/02/2004,BOTH,M065515138316,,
22862,2,24/09/2010,MWAS,O007329812073,,
713446,2,11/09/2000,MWBA,V099918936483,,
835834,1,13/12/2006,WROM,B057238118003,,
354605,1,07/12/2004,WIRT,W065872593736,,
530334,2,10/05/2008,MWAS,B044103518113,,
986966,2,20/06/2005,MOTH,Q074441938455,,
103129,1,27/11/1999,APKN,S069884358759,,
612344,1,05/04/2005,REFU,R053305227923,,
410720,2,08/08/2010,AOTH,G050113790697,,
970920,1,10/02/2003,WBRI,R094120134805,,
835233,1,15/10/2005,AIND,I087638711534,,
485069,2,13/09/2008,WIRI,U064152686165,,
749302,2,15/06/2009,NOBT,K017949288074,,
337454,2,04/03/2012,WROM,A096169931093,,
446385,2,23/05/2010,MWBC,T003311126476,,
314832,1,23/01/2011,WROM,L019534398203,,
491058,2,19/08/2010,AIND,W067992050648,,
283884,1,23/02/2012,OOTH,E036826331722,,
176275,1,12/08/2003,MOTH,I090030478172,,
939843,2,03/05/2000,WBRI,O024177902079,,
440239,1,19/09/2009,AIND,X038394627407,,
458143,1,12/12/2006,WIRT,E055459723796,,
756010,1,14/05/2006,BCRB,M066045425264,,
818552,1,06/02/2009,OOTH,A033095726041,,
561523,1,03/01/2012,BCRB,U019342447546,,
591256,1,22/07/2001,CHNE,Y027715750627,,
540935,1,17/06/2002,AOTH,C016960001621,,
321857,2,10/05/2007,MWAS,O063929583261,,
243153,1,01/01/2013,AIND,F080168782869,,
420729,1,11/12/2008,WIRI,M083880995712,,
464414,2,08/10/2010,BOTH,D023524443464,,
31774,1,05/06/2002,CHNE,F098000968773,,
167665,1,10/09/2002,WIRT,P025453988818,,
976165,1,01/05/2011,AIND,A078856762133,,
758218,1,05/05/2004,WROM,V067973469587,,
773827,1,08/03/2009,BOTH,Q051578390852,,
95808,2,02/11/2006,BCRB,Q041896893591,,
89615,1,02/03/2011,CHNE,S033432790554,,
795037,1,25/07/2011,ABAN,V061505278465,,
234120,1,24/01/2010,OOTH,M059393846986,,
994583,1,12/05/2011,APKN,R053588900833,,
190696,2,24/10/2002,REFU,Q020373689106,,
534351,1,20/08/2010,BAFR,E055721411408,,
280049,1,31/07/2006,REFU,E010907766488,,
760937,2,29/06/2005,OOTH,D070945495848,,
693578,1,01/12/2006,WBRI,H059430750994,,
850780,1,27/06/2004,WROM,V024116738856,,
351855,2,15/12/1998,BOTH,R014033030737,,
51492,2,04/10/2003,BCRB,O098185103753,,
573867,1,23/04/2001,MWAS,P090510021293,,
5282,1,17/12/1999,APKN,V094412840065,,
774404,2,08/11/2010,AOTH,E014257725057,,
828233,1,02/06/1998,MWBA,K096645500750,,
906851,2,20/07/2007,OOTH,U060308039624,,
999465,1,23/06/1999,MWAS,Y045112048189,,
926970,1,20/10/2003,BCRB,V081193351663,,
509622,1,14/10/2006,WIRT,B092851788155,,
432156,1,22/09/2007,MOTH,S086086039614,,
99283,2,24/01/2011,BOTH,S095866912851,,
188473,2,25/01/2003,BOTH,T026421280225,,
999434,2,27/01/2004,MWBC,X032057610585,,
30921,2,31/03/2007,APKN,Z072786565313,,
338583,2,12/08/2002,AIND,V018236089092,,
229212,1,26/12/2001,AIND,L002990947718,,
56573,1,22/02/1999,CHNE,K071936291694,,
532206,2,15/07/2012,BCRB,F073076167917,,
212690,1,04/06/2007,ABAN,W029245424291,,
887505,1,28/02/2003,OOTH,R017909912447,,
767299,2,15/05/2002,WROM,O019906084021,,
38245,1,12/07/2002,BAFR,Q080233527144,,
411862,1,04/05/2004,BAFR,L064226098316,,
402570,1,05/12/2004,WBRI,K059164739918,,
659329,2,03/05/2006,WIRT,X062320145961,,
775252,2,07/03/1999,REFU,V070458649618,,
506425,1,05/05/2005,REFU,F064289116778,,
587565,2,02/01/1999,AOTH,F081477830727,,
216858,2,10/11/2012,AOTH,Y048754074075,,
714632,1,01/05/2001,APKN,W026221116215,,
807179,1,13/06/1998,BOTH,J082922416657,,
438178,1,20/05/2004,BCRB,O029714249241,,
692719,2,03/11/2003,WOTH,N014762523256,,
991014,2,03/07/2000,REFU,N039903765294,,
161276,2,20/10/2006,BCRB,J014070828983,,
97306,1,11/05/2008,AIND,N041664810386,,
952891,2,28/06/2011,WBRI,R041046397505,,
981130,1,23/04/2003,AOTH,F057561266800,,
410247,2,29/06/2010,MWAS,L044515666034,,
729190,2,10/04/1998,AIND,R061262315015,,
671308,2,01/11/2007,MWBC,K067917371067,,
953605,2,17/12/2000,MWBC,U051571455487,,
56267,1,13/05/2012,ABAN,Y027764246625,,
334179,1,26/11/2000,WBRI,R032205503503,,
581485,2,05/03/2011,AOTH,P057610892727,,
547807,1,11/08/1998,APKN,O003785006267,,
916602,1,07/08/2001,BOTH,E017261978283,,
928241,2,24/11/2007,WOTH,T087312635595,,
20859,1,07/02/2003,OOTH,D074440554145,,
802440,2,30/06/2011,WIRI,S020898395862,,
738994,2,14/07/2012,AOTH,C053014488059,,
92137,2,16/12/2001,AOTH,W097609944472,,
2993,1,27/03/2005,BAFR,U092163480330,,
377286,2,10/03/2003,MWAS,M018839334703,,
326895,1,31/05/2005,APKN,W078043070578,,
683363,1,26/03/2008,WIRT,F056480778190,,
60701,1,22/05/2009,CHNE,B061576717868,,
238113,2,24/07/2005,APKN,E014275144391,,
7592,2,07/03/1999,WIRI,S023394449426,,
773338,1,16/04/2008,WIRT,S014481743038,,
341704,2,07/02/2011,MWBA,K062347426698,,
108735,2,15/01/2006,BOTH,R030389251029,,
58467,2,07/02/2001,ABAN,J063620733863,,
911472,1,12/06/2005,CHNE,N047978528990,,
619296,1,11/02/2011,MWBA,N052019082974,,
37389,1,03/10/2010,AIND,D052140925845,,
127049,1,26/05/2006,WROM,K076383681328,,
347188,2,23/05/2000,BOTH,N098732342941,,
942901,2,11/12/2005,APKN,K035242397443,,
495788,2,25/08/2003,BAFR,Y058576037702,,
785424,1,12/01/2005,OOTH,N092566407959,,
199096,2,04/11/2010,REFU,W019399787199,,
237151,1,08/09/2007,NOBT,X065485514619,,
443690,1,02/06/2009,APKN,S017454460505,,
309671,2,13/09/2003,MWBC,Y065825564895,,
293200,1,01/08/2009,MWBA,N070314892031,,
784163,2,01/09/2004,NOBT,S095479701391,,
133839,2,12/03/2006,MOTH,H084631249247,,
814999,1,26/06/2012,WIRI,G086933311245,,
142586,2,18/07/2011,BAFR,M055652018604,,
504609,2,31/03/2007,WOTH,E044122326992,,
720664,2,01/11/2006,APKN,X050683271843,,
151699,2,30/09/1999,WROM,M028238691091,,
218387,2,30/07/2009,OOTH,V050787231084,,
353978,1,26/12/2007,WIRI,U040927094033,,
411542,1,12/08/2002,MWBA,C015621948935,,
352729,1,20/06/2003,APKN,I045554698661,,
726176,2,18/08/2011,APKN,I058174316589,,
850290,1,12/07/2003,REFU,Q053503287294,,
91360,2,05/04/2003,WOTH,Z099236097214,,
282569,1,27/07/2010,MOTH,F008653237870,,
507866,2,03/03/2011,WIRT,P065203408274,,
28564,1,14/08/2004,WROM,O021957051010,,
52314,1,04/08/1998,OOTH,A080918056091,,
676851,1,08/07/2000,AOTH,O080700070643,,
296321,1,29/09/2002,MWBC,J082875130932,,
547727,1,16/01/2005,MWBC,Z030683117004,,
682313,1,12/02/2004,WROM,Y063087383956,,
479995,1,07/02/2005,MWBA,O014704897752,,
213489,2,23/03/1999,WOTH,Y014084358866,,
360661,2,06/10/2002,OOTH,N021686335333,,
18149,1,04/10/2011,NOBT,I053271362958,,
238702,2,11/07/2010,MOTH,Q088964178477,,
945161,2,03/06/2009,CHNE,I033272113824,,
606256,1,09/03/2005,MOTH,Q089196583347,,
143170,2,21/02/2012,BCRB,M018786220517,,
739638,1,07/11/2002,MWBC,P030320519125,,
617652,1,15/10/2001,CHNE,H087220955668,,
160282,2,15/11/2011,BOTH,G019942358618,,
380369,1,07/05/1998,MWBC,W082343562285,,
896554,2,09/11/2007,BAFR,G096744213710,,
838514,1,17/10/2009,ABAN,G049786889708,,
142828,1,11/09/2008,MOTH,I028792287330,,
877853,1,04/06/2007,WIRT,O064440354830,,
749427,2,13/01/2002,WOTH,H092856198651,,
162898,1,01/10/2001,MWBC,G034703634415,,
782044,1,17/05/2002,BAFR,H015780724116,,
58514,2,13/01/2001,AOTH,Z057183259946,,
765606,1,08/08/2006,BAFR,X087566288137,,
712213,2,03/05/2004,WOTH,Z094227034114,,
790649,1,29/05/2003,WBRI,N070397998738,,
837646,1,30/03/2006,CHNE,O074568176554,,
775246,2,26/05/2009,WBRI,Q015817062225,,
464075,2,06/06/2001,WOTH,L036800538495,,
885368,1,15/11/1998,OOTH,Y050568151622,,
435583,2,04/04/2007,MWBC,E036029834877,,
770600,1,21/01/2000,BCRB,W067613499591,,
29701,1,01/02/2002,WOTH,K046041318562,,
354878,1,26/12/2011,BOTH,J052034887710,,
245446,2,25/01/2010,ABAN,P050512766625,,
173337,2,03/07/2005,MOTH,G057542714829,,
115972,1,21/12/2007,WBRI,A064993910713,,
435574,2,10/08/2003,AOTH,S076869604763,,
550571,1,15/12/2010,ABAN,R067917179501,,
740423,2,14/11/2006,AIND,T071608109801,,
262612,1,24/11/2003,NOBT,E015501829137,,
242705,2,29/08/2008,ABAN,R029478401486,,
340472,1,16/09/2001,MWBC,D079993464905,,
881785,2,06/06/1998,MOTH,Z084552059112,,
500953,2,02/05/2004,BOTH,V095472324928,,
981578,2,25/12/2009,AOTH,J003828293416,,
597209,1,04/12/2012,WROM,A056456783071,,
832015,2,20/06/2003,MWBC,Z086781459748,,
729000,1,27/08/2001,NOBT,A032617701960,,
721045,2,16/12/2005,BAFR,I025627814388,,
355217,2,06/04/2003,BCRB,R040008674105,,
709984,2,15/08/2012,APKN,I092636268787,,
791376,2,07/12/2000,MWBA,R055082872278,,
529627,1,06/05/2010,MOTH,W005059567715,,
708442,2,30/10/2007,MWBA,Z072036820246,,
347087,2,15/05/2006,WOTH,I076485880307,,
293430,2,20/12/2006,WROM,L079349395927,,
737703,2,15/12/2005,WIRI,F057246039641,,
446466,1,27/09/2009,BCRB,C041395287775,,
467355,1,10/05/1998,NOBT,V061599157317,,
642095,2,21/11/2009,WIRI,U089156166449,,
518128,2,14/08/2011,MOTH,P028161096079,,
872657,2,22/11/2001,ABAN,O051249310941,,
813175,2,08/01/2007,WIRI,D094598900531,,
860389,1,30/11/2001,BAFR,C001801832510,,
736115,2,07/06/2006,MWAS,P020889503615,,
707945,2,15/12/2012,MWAS,L041889407691,,
982303,2,16/10/2002,WBRI,T096028177530,,
721598,2,18/04/2011,WIRT,A057063435676,,
304088,1,13/08/2011,ABAN,X081511252438,,
623488,1,19/02/1999,APKN,M044137120175,,
586361,1,01/04/2011,MOTH,T054778574417,,
380601,1,16/02/2004,NOBT,A056519795695,,
361416,1,20/12/2004,AOTH,M055393180766,,
846234,1,01/02/2003,NOBT,G090913447024,,
108630,1,26/11/2002,MWBC,R069048900083,,
167926,2,12/01/2002,BCRB,S063296703018,,
580858,1,07/10/2007,APKN,S040255767502,,
867738,1,30/05/2011,MWAS,O091663205595,,
638797,2,10/06/1998,BOTH,T056976947453,,
63280,2,13/11/2005,OOTH,L079718397542,,
387346,2,05/03/2004,MWAS,Y049678340455,,
184123,1,29/03/1999,AOTH,S030186396060,,
246684,2,26/06/1998,CHNE,H073162625505,,
495922,2,17/09/2007,WIRI,C035588554161,,
385949,2,02/01/2009,MWAS,P072044063859,,
172603,1,20/08/2001,BCRB,U045216619939,,
467500,1,03/10/2005,BCRB,X092009895786,,
367267,1,09/11/2008,MWAS,D016312905493,,
86355,2,26/10/2010,AIND,H098100247191,,
733860,1,09/06/2003,WIRI,B089151723651,,
132703,2,22/10/2003,CHNE,A049603707794,,
835637,2,11/11/2004,CHNE,Y089935740991,,
753369,2,09/01/2010,MOTH,V013304810525,,
725604,1,02/08/2002,BOTH,K099822517258,,
488398,2,04/10/2001,MWBA,B085486858048,,
759034,1,02/01/2009,WIRT,G024334491040,,
848391,1,09/01/2011,OOTH,G074987552342,,
339649,1,26/07/2003,AOTH,T089939528797,,
918687,1,03/07/2006,WBRI,J018340567750,,
28092,1,26/02/2009,NOBT,W083303555992,,
869852,1,28/06/2011,WBRI,S071712520072,,
946525,1,25/10/2004,BOTH,S090777207809,,
448670,2,01/02/2001,WOTH,P068408888527,,
800431,1,26/04/2002,REFU,F049130971534,,
857174,2,29/05/2002,BOTH,I070656396121,,
61454,2,23/05/2006,AIND,N008555671599,,
822956,2,26/12/1998,AIND,B092720846120,,
996928,2,08/09/2003,MWBA,Z004662370205,,
903585,1,12/12/2003,WROM,E076586135769,,
427644,2,18/05/2002,BAFR,C025529639616,,
8845,1,29/12/2012,NOBT,B098966094827,,
5937,2,21/05/2004,AIND,G006384914143,,
681236,2,14/11/2012,OOTH,B070870906981,,
887177,1,26/04/2003,CHNE,L049045233756,,
949389,2,26/05/2011,MOTH,V082529737716,,
127130,1,15/07/2005,WBRI,F034282094054,,
835177,2,27/02/2003,ABAN,X010080743789,,
174810,1,20/06/2005,MWAS,R045036533094,,
451759,2,03/06/2012,OOTH,M092483346877,,
400517,2,18/01/2009,NOBT,M079161328026,,
506710,1,20/12/2009,WBRI,K095528408658,,
647603,2,15/09/2000,MWBA,M049239860388,,
583918,2,09/11/2010,REFU,F024015835082,,
833655,1,15/06/2004,REFU,E054023880394,,
277128,2,03/12/2001,WIRT,E025405523139,,
173547,2,11/03/2006,ABAN,M088360576622,,
645760,2,14/01/2000,WBRI,A088840290341,,
487819,1,20/02/2000,MWBC,E020882320361,,
757138,1,27/09/1999,OOTH,Q089488517968,,
698037,2,21/07/2001,WBRI,V056794217452,,
444929,2,05/04/2003,OOTH,Y010522800599,,
415439,2,08/04/2007,WIRI,E066979772574,,
265739,1,12/09/2009,REFU,V098814748624,,
129239,2,13/01/2001,BOTH,Y059630577172,,
440661,1,23/04/2007,BAFR,Y055830448178,,
1992,1,13/10/2007,APKN,B071061739029,,
796618,1,03/08/2000,MWBC,M094900809549,,
6925,1,24/05/2009,REFU,X069814885651,,
505687,1,11/11/2003,ABAN,V056240178975,,
481400,2,18/05/1998,AIND,G058893380650,,
397823,1,22/09/2006,BAFR,O002386154651,,
361457,1,05/07/2009,AIND,D076674720210,,
9295,1,12/02/2002,BOTH,L035831877921,,
163202,2,03/07/2000,WBRI,N009814899309,,
600219,1,29/09/2005,MWBA,P002121888221,,
513948,2,22/11/2009,WIRT,Z075817170478,,
671429,1,22/03/2000,ABAN,O048517575152,,
650927,1,24/05/2009,BCRB,R025593318446,,
134984,2,31/12/2001,OOTH,H096299880744,,
74765,1,27/04/2005,WROM,X028649936709,,
772193,1,28/02/2001,AIND,U081887053160,,
773572,1,12/09/2002,MWBC,G055449042551,,
756813,1,31/03/2008,OOTH,X018439234124,,
475712,2,24/12/2011,NOBT,Q051525376717,,
44270,2,20/02/1999,AIND,C010890014352,,
623750,1,01/08/2010,WBRI,E020677374042,,
70215,2,22/03/2010,APKN,U045890341957,,
846496,1,24/05/2012,WOTH,Z069569534341,,
