pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,moveonrollflag,boarder,language
059fa684-b63,SCH8,2011-Aug-18 00:00:00,SUR6411,FOR8469,MID6732,PSUR8095,FSUR4578,1af377c5-44d,e91d6cb5-7ff,0861ff40-6,F,2025-May-11 00:00:00,2025-May-30 00:00:00,2,b8bd8f2e,cd62a3dc,False,130.0,7eba82a0,,
05ad4b06-152,SCH2,2017-Nov-01 00:00:00,SUR2802,FOR2493,MID8554,PSUR9769,FSUR2234,81136389-377,39846e1b-9c4,2edef625-e,F,2019-Nov-11 00:00:00,2025-May-22 00:00:00,1,47ced69c,b6c0c6c8,False,134.0,5727513e,,ENG
05f8b707-08e,SCH4,2012-Feb-12 00:00:00,SUR4046,FOR9899,MID1046,PSUR8179,FSUR2630,c009ca3c-16b,1a981de7-e86,5b19df18-0,M,2024-Dec-14 00:00:00,2025-Jul-03 00:00:00,1,d23332e1,c8d8cb36,,132.0,f8276c8b,,GAL
06a430c2-8e6,SCH1,2018-Jul-16 00:00:00,SUR8690,FOR3696,MID6900,PSUR8490,FSUR4869,d74d2475-4a1,d934dc1e-fe5,8f8d5c77-0,F,2025-Apr-20 00:00:00,2025-Jun-19 00:00:00,1,28419997,5271b5e7,False,126.0,1f00732f,,CYM
07913620-e72,SCH2,2008-Nov-13 00:00:00,SUR9594,FOR9867,MID3600,PSUR1666,FSUR4148,2c01edd9-8d5,650798c8-378,c2caa413-6,M,2024-Sep-13 00:00:00,2025-May-22 00:00:00,1,44a0faed,63811519,,133.0,295c95f5,,ENG
07f54fe8-979,SCH1,2018-Nov-23 00:00:00,SUR3397,FOR7913,MID2560,PSUR1224,FSUR8299,5f19dc2b-6d1,5ac6d35e-050,f0442acf-0,F,2020-Apr-28 00:00:00,2025-Jun-17 00:00:00,1,472e867b,0ba4b813,False,133.0,e9de44fc,,ENG
0839f876-0c1,SCH8,2012-Mar-09 00:00:00,SUR2548,FOR9542,MID7530,PSUR5045,FSUR5678,c20f54d9-a08,71f00512-c1f,035ea26f-5,F,2022-Mar-29 00:00:00,2025-Jul-02 00:00:00,1,8764a141,0e091604,False,130.0,8a15ee50,N,ENG
085f86d9-246,SCH3,2008-Jul-19 00:00:00,SUR6825,FOR8557,MID6586,PSUR1511,FSUR9735,c9ef9236-4da,fca84b79-249,25a5b09d-a,F,2025-May-06 00:00:00,2025-Jul-09 00:00:00,1,12787f68,9a53a7e2,False,130.0,10c6ca2c,,PNJA
0903e6de-706,SCH4,2015-Mar-24 00:00:00,SUR1715,FOR3809,MID1856,PSUR5629,FSUR9409,62b142f3-6ae,6ca60ceb-99f,877ab235-5,M,2025-Apr-04 00:00:00,2025-Jul-03 00:00:00,1,e5cd6aed,557cdf2c,False,125.0,a79ffb9c,,ENG
09a81f9d-af3,SCH5,2009-Apr-26 00:00:00,SUR7732,FOR7567,MID6773,PSUR2293,FSUR1032,eb7d8757-456,a85caaa7-ab5,c8630527-1,F,2020-Nov-13 00:00:00,2025-May-25 00:00:00,1,15dd21e1,f05c4764,False,127.0,7bf57010,,ENG
09a81f9d-af3,SCH2,2009-Apr-26 00:00:00,SUR7732,FOR7567,MID6773,PSUR2293,FSUR1032,eb7d8757-456,a85caaa7-ab5,c8630527-1,F,2025-May-26 00:00:00,2025-Jun-08 00:00:00,2,22d9f1b3,91bd2996,True,128.0,5dac03f1,,ENG
09fbfa86-f49,SCH8,2013-May-17 00:00:00,SUR8015,FOR8326,MID4633,PSUR9816,FSUR5628,f618c9ee-b2e,a13f9cf4-8f3,5ee944b1-7,M,2024-Sep-28 00:00:00,2025-May-13 00:00:00,1,0c551d38,3b37341b,False,132.0,4798b73b,,GER
0a52e09d-dfb,SCH5,2020-May-11 00:00:00,SUR9502,FOR2864,MID8204,PSUR1169,FSUR9283,1e597a44-e90,a6fddb40-71a,1d50cd77-6,M,2019-Dec-20 00:00:00,2025-May-09 00:00:00,1,f226a4a6,16874236,False,130.0,c767486e,,
0b135e79-6df,SCH5,2011-Aug-29 00:00:00,SUR7759,FOR5647,MID9313,PSUR5989,FSUR6277,1b1d0866-b04,bc317017-dc0,1f8862a0-f,F,2024-Dec-28 00:00:00,2025-Jun-08 00:00:00,1,cf3ac692,4cbd4da5,True,121.0,85d0becd,,
0bab343b-5cf,SCH5,2019-Jan-15 00:00:00,SUR4835,FOR2425,MID8060,PSUR2315,FSUR1559,95d441e0-ca4,1e3fbdf5-b35,3f759efd-e,F,2025-Mar-19 00:00:00,2025-Apr-28 00:00:00,1,e077cbec,254cf3cd,False,123.0,3bee3865,,ENG
0c382547-1b2,SCH2,2010-Sep-16 00:00:00,SUR9045,FOR5495,MID1180,PSUR4452,FSUR2635,e4a025e1-057,97d944c2-bc0,f073e44b-f,F,2024-Aug-15 00:00:00,2025-May-09 00:00:00,1,5328b7f5,1053eda7,True,137.0,1ea4b31d,,GAL
0c382547-1b2,SCH4,2010-Sep-16 00:00:00,SUR9045,FOR5495,MID1180,PSUR4452,FSUR2635,e4a025e1-057,97d944c2-bc0,f073e44b-f,F,2025-May-10 00:00:00,2025-May-27 00:00:00,2,da540065,1a9386b1,False,129.0,9b761f38,,ENG
0c788c53-a55,SCH8,2010-Jan-23 00:00:00,SUR3582,FOR8187,MID2038,PSUR1423,FSUR9388,e626202c-f2b,aebb8855-8dd,aab95ccc-e,M,2024-May-21 00:00:00,2025-May-07 00:00:00,1,24a1927c,5ac770b4,False,134.0,c5005cf1,,ENG
0d16bc77-ec7,SCH3,2019-Mar-25 00:00:00,SUR5321,FOR4183,MID9864,PSUR3858,FSUR9184,7b89d8fc-106,bc6816ef-1a1,cb40178e-8,F,2025-Jan-25 00:00:00,2025-May-23 00:00:00,1,a67c3fb2,b8228cf3,False,127.0,29ed4ef0,,ENG
0d3c07f4-6bb,SCH4,2012-Sep-18 00:00:00,SUR6162,FOR8061,MID7576,PSUR4536,FSUR1980,9173c667-1c4,4f3b060b-e38,4da5c9db-d,F,2024-Jun-29 00:00:00,2025-Jun-12 00:00:00,1,9fe4cd6e,3b2835ed,False,129.0,a6831fbe,,ENG
0dfd8155-615,SCH2,2007-Nov-27 00:00:00,SUR3266,FOR5447,MID4538,PSUR8663,FSUR3437,b6d87a72-740,f5df0618-0dc,472ac0d1-4,M,2023-Oct-20 00:00:00,2025-Apr-30 00:00:00,1,a121453d,a12525cc,,135.0,a26160a1,,ENG
0e3212db-986,SCH5,2015-Nov-08 00:00:00,SUR9749,FOR2316,MID6572,PSUR9238,FSUR2260,8cfa36aa-066,662928c3-012,9f5a647d-b,F,2025-Mar-27 00:00:00,2025-Jul-02 00:00:00,1,b7efcc96,a0b17be5,False,133.0,11f75948,,ENG
0e5e86c6-a76,SCH7,2017-Dec-11 00:00:00,SUR8660,FOR9207,MID1285,PSUR4955,FSUR6552,952efb16-4d0,42f7c1d4-e9c,28d4105c-d,M,2025-Apr-25 00:00:00,2025-May-06 00:00:00,1,831f883d,b692c7d9,False,125.0,f862fadf,,ENG
0e5e86c6-a76,SCH6,2017-Dec-11 00:00:00,SUR8660,FOR9207,MID1285,PSUR4955,FSUR6552,952efb16-4d0,42f7c1d4-e9c,28d4105c-d,M,2025-May-07 00:00:00,2025-Jun-19 00:00:00,2,d7d0693a,155d11b0,False,133.0,4732f624,,CYM
0e8b2e8e-524,SCH1,2012-May-26 00:00:00,SUR6482,FOR4361,MID6392,PSUR4438,FSUR1038,af0b072c-b61,1713d80f-ebe,30b0f2a5-0,M,2023-Nov-10 00:00:00,2025-Jul-12 00:00:00,1,ce0e64fd,9d5504ff,False,132.0,53242737,,ENG
0e9fd9e4-a34,SCH8,2018-Dec-24 00:00:00,SUR4382,FOR9234,MID3581,PSUR5032,FSUR9024,5f16ff7b-5f8,9c7e2ebf-ed6,d76249dd-c,F,2021-Apr-08 00:00:00,2025-Jun-21 00:00:00,1,0baccc49,b9ca7154,False,132.0,4b9ae4df,,GER
0eca0d8b-94c,SCH5,2007-Dec-23 00:00:00,SUR6452,FOR5395,MID3374,PSUR2403,FSUR1850,b5e34a74-ebe,c4f9e3fd-c6a,c4f85764-7,M,2025-Apr-29 00:00:00,2025-May-23 00:00:00,1,0f265b02,e68cb844,True,127.0,fc3805e8,,PNJA
0eca0d8b-94c,SCH2,2007-Dec-23 00:00:00,SUR6452,FOR5395,MID3374,PSUR2403,FSUR1850,b5e34a74-ebe,c4f9e3fd-c6a,c4f85764-7,M,2025-May-24 00:00:00,2025-Jun-17 00:00:00,2,b2e9828c,804217ec,False,133.0,931e6fe7,,ENG
0f0dab68-be9,SCH5,2017-May-10 00:00:00,SUR4786,FOR3330,MID5799,PSUR3312,FSUR3043,7762b8f0-007,20f0d2ec-c63,f9bab8df-4,M,2018-Nov-16 00:00:00,2025-Jul-07 00:00:00,1,1bad80b4,dec7f617,False,127.0,b78e130b,,ENG
0f64b13c-4c2,SCH1,2012-Sep-25 00:00:00,SUR2972,FOR3310,MID6619,PSUR4496,FSUR9211,e16006da-eaf,075c91ca-ae3,f1d496bc-e,F,2019-Mar-21 00:00:00,2025-Jun-17 00:00:00,1,3d16d4dc,fb76ad11,False,130.0,18b9075e,,ENG
10294734-b4e,SCH5,2016-Jul-14 00:00:00,SUR8719,FOR9954,MID1854,PSUR7577,FSUR9946,f5dfbeb8-0dd,a8cf31dc-884,e7bf561f-e,F,2024-Feb-12 00:00:00,2025-Jul-04 00:00:00,1,0e008e1d,af264d58,False,122.0,bb21e3df,,ENG
108085dc-6ae,SCH6,2018-Mar-20 00:00:00,SUR1415,FOR7642,MID1629,PSUR4328,FSUR1318,e68ed693-91a,afb355ab-4ba,b24639cf-c,M,2025-Mar-01 00:00:00,2025-Jul-04 00:00:00,1,4b96c0de,5626955d,False,129.0,896ac2ea,,ENG
10da5b5e-45b,SCH4,2009-Apr-02 00:00:00,SUR2057,FOR9633,MID1974,PSUR8154,FSUR3954,778746c2-084,0392af91-0a3,f453eb14-7,F,2024-Dec-01 00:00:00,2025-May-23 00:00:00,1,91def24f,65976f41,True,128.0,12a4510d,,ENG
10e12ddb-bd9,SCH6,2018-Jul-04 00:00:00,SUR4813,FOR3197,MID5939,PSUR1501,FSUR1844,fc751606-6dc,58dc219d-d82,d0ede0c2-6,M,2025-Apr-11 00:00:00,2025-Jun-11 00:00:00,1,b01a8bba,61636167,False,132.0,158f4af1,N,ENG
110cfbe1-c05,SCH3,2019-Mar-07 00:00:00,SUR8561,FOR7690,MID7800,PSUR4724,FSUR2065,f3ae7590-455,b734f9b5-dbb,7bb0e413-e,M,2025-Mar-10 00:00:00,2025-May-05 00:00:00,1,d7e6fa4c,736eccee,False,116.0,4f70a192,,ENG
113ae099-384,SCH3,2018-Jun-15 00:00:00,SUR4619,FOR3424,MID4835,PSUR9672,FSUR1966,d6177807-aa4,06cec13a-0da,df0bf3c0-9,M,2022-Jan-03 00:00:00,2025-May-17 00:00:00,1,ec1eeb5f,24a3f0e4,False,134.0,727273a4,,ENG
1141c6ee-c5b,SCH4,2019-Jun-18 00:00:00,SUR5430,FOR2695,MID4835,PSUR7872,FSUR6178,f69f0dce-39f,08739dd4-8d1,0d3a3625-1,M,2025-Feb-15 00:00:00,2025-Jun-25 00:00:00,1,2b6d9a62,f9b9c1ac,False,134.0,d40858bf,,ENG
11f44cd7-210,SCH2,2015-Jan-16 00:00:00,SUR1343,FOR9963,MID9381,PSUR1892,FSUR2661,465f032c-3b5,f4c22658-67a,2cebe0c6-5,F,2022-Dec-16 00:00:00,2025-Jun-20 00:00:00,1,257ac744,c2426841,True,137.0,43dd7976,,ENG
12b84291-b86,SCH4,2020-Mar-27 00:00:00,SUR1769,FOR8684,MID7001,PSUR9704,FSUR4997,626b9e0b-cfd,549f3302-ce3,8565f77f-6,M,2025-May-11 00:00:00,2025-Jun-25 00:00:00,1,906d9306,316fb4c0,,138.0,559e34ef,,ENG
1303fa33-cbe,SCH5,2017-Sep-29 00:00:00,SUR6636,FOR4163,MID6109,PSUR1840,FSUR8797,620288f0-bea,5b19c293-308,9001eb0e-9,M,2025-Jun-18 00:00:00,2025-Jul-14 00:00:00,1,b5b4c581,9bbda345,,129.0,fb789909,,ENG
13634b10-b7d,SCH5,2013-Jan-12 00:00:00,SUR4105,FOR6489,MID9524,PSUR6950,FSUR9904,947cea46-031,0d38e2b9-68e,51df67c6-0,M,2019-Nov-16 00:00:00,2025-Jul-01 00:00:00,1,4658d910,08325302,False,135.0,b9c7cf34,,ENG
13b7f165-56a,SCH5,2011-Apr-28 00:00:00,SUR2425,FOR5348,MID9662,PSUR2400,FSUR6006,c9b32d78-c42,548a962f-6c4,c9846bb8-6,M,2025-Mar-31 00:00:00,2025-Jul-05 00:00:00,1,930e66cc,234ab077,False,126.0,a1ce18df,,CYM
14784faa-02d,SCH3,2020-Apr-29 00:00:00,SUR4224,FOR8554,MID4224,PSUR7369,FSUR3327,6f4967fc-718,aff75fcc-0c4,9c64c4c1-a,M,2024-Sep-06 00:00:00,2025-May-19 00:00:00,1,b1a0ff4e,d8a52303,False,131.0,f4500015,,ENG
160f7979-385,SCH1,2012-Jun-24 00:00:00,SUR3806,FOR8170,MID3195,PSUR3871,FSUR5820,8ce33e52-c34,d2f1ce7b-ab9,73c0fb32-8,F,2024-Aug-25 00:00:00,2025-Jun-08 00:00:00,1,dda6c833,27c2547b,True,131.0,5d15cc26,,ENG
161cf588-652,SCH7,2015-Jul-11 00:00:00,SUR7854,FOR8835,MID6910,PSUR1458,FSUR2867,e303294f-1f3,5a029a27-df0,9794d426-e,M,2023-Aug-26 00:00:00,2025-Jun-21 00:00:00,1,92326778,4f71700d,False,129.0,87d40f5f,,
16251609-89e,SCH4,2008-Feb-12 00:00:00,SUR2988,FOR4603,MID1857,PSUR9608,FSUR6455,6ea6875f-e0b,7cac8e1c-8cb,f7e17a0c-3,M,2025-Apr-13 00:00:00,2025-Jun-24 00:00:00,1,ca030a1d,2e210d73,True,132.0,4311c220,,UKR
16251609-89e,SCH2,2008-Feb-12 00:00:00,SUR2988,FOR4603,MID1857,PSUR9608,FSUR6455,6ea6875f-e0b,7cac8e1c-8cb,f7e17a0c-3,M,2025-Jun-25 00:00:00,2025-Jul-11 00:00:00,2,c018a319,cae63273,False,132.0,ac8654d9,,PNJA
1690972d-910,SCH4,2011-Mar-17 00:00:00,SUR2978,FOR1918,MID1976,PSUR9235,FSUR4134,08c641e1-78d,f3846260-8a6,e2f50bbd-8,F,2019-Apr-18 00:00:00,2025-May-20 00:00:00,1,db61249d,a18430a9,False,128.0,3d6aee94,,GER
172260c8-4ad,SCH6,2014-Oct-25 00:00:00,SUR7638,FOR6021,MID7261,PSUR6627,FSUR5403,2ff17481-b34,8a0172f2-f67,afaf6a72-4,M,2025-Apr-24 00:00:00,2025-May-09 00:00:00,1,f510a58b,c67d1f06,False,128.0,fa138c19,,ENG
1795282e-54e,SCH2,2012-Jan-27 00:00:00,SUR9444,FOR8479,MID2690,PSUR5631,FSUR9980,3ab996f0-6ec,d7c35105-ff5,a1141688-7,F,2025-Jun-08 00:00:00,2025-Jul-09 00:00:00,1,5f5144c2,12ef8621,False,135.0,1fe57a16,,CYM
1893358a-01a,SCH4,2016-Nov-06 00:00:00,SUR7805,FOR7541,MID1560,PSUR3130,FSUR8076,27702f73-1ee,3d7a6b39-370,14a5a216-1,F,2024-Nov-14 00:00:00,2025-Jul-02 00:00:00,1,bd272c88,0cb27ad4,False,134.0,872a3154,,GER
189b3e57-962,SCH8,2017-Nov-29 00:00:00,SUR7600,FOR9240,MID3350,PSUR8365,FSUR8323,f6e5b08e-b7a,5864c7d4-0bc,c564c009-6,F,2025-Mar-16 00:00:00,2025-May-31 00:00:00,1,d6ae4f44,eb0543e8,False,138.0,09670ee1,,
1bebb9d1-a41,SCH5,2019-Apr-29 00:00:00,SUR6119,FOR2562,MID4009,PSUR8539,FSUR6269,3a0711dd-1f8,f11da3b4-a86,b299977a-0,M,2020-Sep-24 00:00:00,2025-Jun-02 00:00:00,1,07f4e219,f504c8d8,,124.0,db3524e6,,ENG
1bf7bebf-7fc,SCH5,2008-Aug-23 00:00:00,SUR9135,FOR3270,MID5583,PSUR6733,FSUR3401,0d6e0194-056,a4beb150-e13,9478e128-7,F,2025-Apr-19 00:00:00,2025-Apr-24 00:00:00,1,f8a61f1c,c6e5c905,False,126.0,d6bf6387,,ENG
1ca28f00-ac2,SCH8,2015-Oct-05 00:00:00,SUR3264,FOR7694,MID3040,PSUR5295,FSUR6645,77aefb65-6cb,998fa225-98a,49d9f234-0,F,2022-Jul-29 00:00:00,2025-Jul-15 00:00:00,1,ebd8f6d4,d49f702a,False,125.0,623721f1,,CYM
1d6cf60f-410,SCH1,2020-Aug-10 00:00:00,SUR6289,FOR4507,MID4327,PSUR2192,FSUR6846,0208f840-a96,29323d0c-c21,2c36c416-7,F,2023-Dec-03 00:00:00,2025-May-07 00:00:00,1,8d562be1,a511530d,False,136.0,84dc29a5,,ENG
1d6cf60f-410,SCH3,2020-Aug-10 00:00:00,SUR6289,FOR4507,MID4327,PSUR2192,FSUR6846,0208f840-a96,29323d0c-c21,2c36c416-7,F,2025-May-08 00:00:00,2025-Jun-24 00:00:00,2,f6e0ce22,54ac7342,True,124.0,c140ce28,,
1e4fdc58-e3a,SCH1,2011-Feb-17 00:00:00,SUR6409,FOR7514,MID4273,PSUR4902,FSUR3204,7af932a0-dd6,5731d330-7eb,50cee378-b,M,2024-Sep-23 00:00:00,2025-May-22 00:00:00,1,6cd0a738,093f07a6,,130.0,372deb3a,,ENG
1ee09090-4b0,SCH2,2013-Mar-14 00:00:00,SUR2995,FOR1717,MID5978,PSUR4999,FSUR5198,4e1e7af8-6fb,2601b634-057,fb2068b3-4,F,2025-May-30 00:00:00,2025-Jul-10 00:00:00,1,a1ee7b79,22799409,False,133.0,47c501b4,,CYM
1ee6e6fe-22e,SCH5,2013-Aug-29 00:00:00,SUR3376,FOR7600,MID8426,PSUR7246,FSUR6193,53f51479-3cf,8c274b4f-d23,cac151c3-5,M,2025-Jan-13 00:00:00,2025-May-17 00:00:00,1,6b552031,0d89ea39,False,124.0,10c275a9,,ENG
1f0fbb1d-63f,SCH8,2014-Mar-10 00:00:00,SUR1917,FOR5173,MID4049,PSUR6436,FSUR6716,e5b1b2da-f30,5c4be509-907,7a7292f6-f,F,2025-Feb-08 00:00:00,2025-Jun-27 00:00:00,1,7ab4043e,b99ffa02,False,130.0,cf1c3827,6,ENG
20e593d9-fba,SCH7,2011-Nov-29 00:00:00,SUR3433,FOR9325,MID6694,PSUR2443,FSUR7173,602034f3-04d,f09d67b5-8b0,37ba1748-5,M,2023-Oct-25 00:00:00,2025-May-23 00:00:00,1,f02cab3e,b443aec6,False,135.0,9d74c4e3,,GER
21ff3d55-58e,SCH8,2016-Dec-27 00:00:00,SUR9760,FOR3000,MID1971,PSUR7850,FSUR6244,2a5e9d84-68d,c1f6263e-1c3,3816a220-1,F,2024-Jun-17 00:00:00,2025-Apr-21 00:00:00,1,2b72a0df,fd228b9a,False,136.0,6f1fa6dc,,ENG
2231871b-cc3,SCH2,2010-Apr-15 00:00:00,SUR9217,FOR6549,MID1153,PSUR5142,FSUR8191,db4b7f9b-292,1119adc9-830,61f72285-8,F,2023-Apr-27 00:00:00,2025-May-16 00:00:00,1,e2e1961b,4d60789f,,120.0,1c39b7e4,,GAL
22839ccf-ff2,SCH4,2018-Mar-09 00:00:00,SUR5727,FOR1051,MID1483,PSUR6106,FSUR2537,08a5dc45-e8d,89ec4e59-a53,cea1c1ed-2,F,2024-Oct-28 00:00:00,2025-Apr-24 00:00:00,1,f8b35364,b5b9b9c7,False,128.0,ac028509,,ENG
23d2b1a8-4a6,SCH7,2018-Apr-13 00:00:00,SUR2843,FOR5447,MID2816,PSUR3301,FSUR2661,497530f7-b2a,6cd035cf-ba3,b486dcfb-b,M,2025-Apr-05 00:00:00,2025-May-13 00:00:00,1,07b7e44f,4b51f025,False,127.0,8fa6061c,,ENG
2401da04-436,SCH4,2013-Oct-11 00:00:00,SUR7988,FOR8698,MID9299,PSUR9178,FSUR1494,fae1f5fd-7e0,bff17133-64a,34ddec3f-5,F,2025-Jun-20 00:00:00,2025-Jun-22 00:00:00,1,30a5f24f,df30417e,True,136.0,14b1e8d4,,ENG
24069911-8d1,SCH6,2012-Jan-08 00:00:00,SUR4078,FOR8718,MID9653,PSUR9271,FSUR6600,a189c7fa-633,c320a75f-bf9,01e1dc6b-b,F,2024-Feb-25 00:00:00,2025-Jun-23 00:00:00,1,3fccdca3,e115f66d,False,117.0,fe8dbf75,,ENG
24069911-8d1,SCH2,2012-Jan-08 00:00:00,SUR4078,FOR8718,MID9653,PSUR9271,FSUR6600,a189c7fa-633,c320a75f-bf9,01e1dc6b-b,F,2025-Jun-24 00:00:00,2025-Jun-29 00:00:00,2,b31446e7,6f176d63,False,130.0,766989c6,,CYM
240ea586-475,SCH2,2011-Apr-13 00:00:00,SUR9972,FOR1382,MID7302,PSUR2361,FSUR5850,aba04ec8-5ea,b55afe38-d2f,7af4feb3-2,F,2025-Mar-19 00:00:00,2025-Jul-07 00:00:00,1,28152385,25b458c0,True,134.0,8344195d,,PNJA
24760f44-1f5,SCH4,2009-Jul-31 00:00:00,SUR9930,FOR2691,MID9077,PSUR7812,FSUR5947,e9866180-878,b9294fe1-a0d,11bcd0c5-1,F,2024-Nov-04 00:00:00,2025-May-12 00:00:00,1,aff6721c,230ff26f,False,128.0,cd355032,,ENG
24df6e6b-b98,SCH7,2010-Oct-05 00:00:00,SUR2549,FOR3237,MID6981,PSUR8899,FSUR1178,b1301fd8-2f8,c21200c4-24d,59042b2d-7,F,2023-Aug-13 00:00:00,2025-May-09 00:00:00,1,c38e4906,5615e1f4,False,122.0,e0945905,,ENG
254d2b56-b05,SCH5,2010-Oct-16 00:00:00,SUR5418,FOR5803,MID1827,PSUR4834,FSUR7351,e8d7ffc1-9ae,2aa5b418-2e9,450d21bd-2,F,2021-Jan-21 00:00:00,2025-May-01 00:00:00,1,082bbf4d,e146108f,False,124.0,dda90de2,,GAL
255b3b5e-abb,SCH6,2013-Nov-25 00:00:00,SUR6254,FOR8673,MID6278,PSUR4049,FSUR7627,76d151bc-7f0,95e7a214-01c,e62167ca-7,F,2019-Dec-15 00:00:00,2025-Jun-04 00:00:00,1,ce30ffe8,fe238d1c,False,132.0,d0fd43ce,,GAL
25bb54f7-a2f,SCH2,2015-Nov-26 00:00:00,SUR9891,FOR9828,MID7394,PSUR9593,FSUR4153,78487230-a9d,bc04a7bf-c90,19a97879-e,F,2025-May-14 00:00:00,2025-Jul-10 00:00:00,1,de5fc4be,f2a8cbd6,True,128.0,5ff938cb,,ENG
26c7336d-7c3,SCH8,2020-May-18 00:00:00,SUR6612,FOR9327,MID5069,PSUR4089,FSUR8544,64c9656d-0e9,5561f3e4-ff2,a4d882f4-b,F,2021-Jun-01 00:00:00,2025-Apr-22 00:00:00,1,c20e65a0,331607fa,False,139.0,44749804,,GER
2737513d-03c,SCH8,2012-Jul-13 00:00:00,SUR9063,FOR9679,MID8420,PSUR2172,FSUR4565,e7936417-63d,a4003bf7-77f,a3e0bb05-b,F,2025-May-06 00:00:00,2025-May-23 00:00:00,1,af60bdca,d95f6325,False,127.0,a8aeefbb,,ENG
27518a67-74d,SCH4,2015-Jul-09 00:00:00,SUR7493,FOR8768,MID3769,PSUR1582,FSUR1028,13a114ea-18e,91a64d8f-1ad,37b5975e-8,F,2025-Feb-05 00:00:00,2025-May-04 00:00:00,1,0b8ecea2,1680320f,False,130.0,53160c08,,ENG
275aafcd-bfa,SCH5,2016-Apr-24 00:00:00,SUR3701,FOR8194,MID3120,PSUR9742,FSUR2420,dcf1611a-a37,9376a5cb-8be,5b2a0801-2,F,2024-Aug-19 00:00:00,2025-Jun-08 00:00:00,1,1a16e697,a3cabd62,False,131.0,fdfd7dd6,,GER
283fb12f-a07,SCH5,2018-May-27 00:00:00,SUR7927,FOR1808,MID3498,PSUR6513,FSUR6937,e4fc08ed-763,0a6171d2-cdd,da4e2a66-9,F,2024-Dec-19 00:00:00,2025-May-22 00:00:00,1,a00a0477,a098a570,True,128.0,2ae0273c,7,ENG
