pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,moveonrollflag,missingaddress,summerhalfterm2sessionsauthorised,summerhalfterm2sessionspossible,summerhalfterm2sessionsunauthorised,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,nonqualhrs,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,boarder,language,ncyearleaving,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear
0a3d35fa-4a0,SCH5,2020-Aug-28 00:00:00,SUR3811,FOR8413,MID2202,PSUR7190,FSUR3551,5cba58d7-1b5,0fdf5f09-e93,b93342e8-b,F,2024-Mar-25 00:00:00,2024-Oct-06 00:00:00,1,a2065eca,0671c94a,False,125.0,8.0,2.0,9f9ba31e,2cf23dc2,7.0,139.0,3.0,808.0,822.0,137.0,735.0,132.0,128.0,,,,,ENG,7,,1,,,,,,
0b680153-77d,SCH6,2018-Dec-12 00:00:00,SUR9753,FOR2213,MID1643,PSUR3050,FSUR6051,db8a3112-595,598a98b9-4c1,887a8dc5-9,M,2022-Sep-13 00:00:00,2024-Oct-14 00:00:00,1,1d3246f9,e497dc2a,True,131.0,8.0,,7485214d,28782366,8.0,134.0,,833.0,781.0,128.0,,132.0,133.0,,,3.0,,ENG,10,,3,,2,,L,,
0be50e5b-a48,SCH8,2017-Feb-05 00:00:00,SUR3743,FOR8536,MID6145,PSUR4749,FSUR7536,d088f80c-8c4,6674e3ce-ee1,986033ff-f,F,2022-Nov-24 00:00:00,2024-Nov-20 00:00:00,1,71a4a4dd,54bc1695,True,131.0,,,bd79265d,b7c59d26,8.0,134.0,,840.0,780.0,133.0,841.0,128.0,137.0,3.0,,,,ENG,14,,,,1,,N,4,
0d6cae32-9fa,SCH6,2009-May-22 00:00:00,SUR5653,FOR3748,MID3570,PSUR4923,FSUR4771,05094ca8-a35,6b838fb8-6fd,30e1d1a1-c,M,2019-Feb-03 00:00:00,2024-Nov-13 00:00:00,1,27388f26,d49d4180,,125.0,7.0,,ef317b48,964f8255,8.0,127.0,3.0,746.0,837.0,122.0,753.0,136.0,133.0,3.0,,,,ENG,5,,2,,,F,,6,
0e6c3ea7-acc,SCH7,2015-Sep-14 00:00:00,SUR3740,FOR4081,MID5216,PSUR7645,FSUR5942,29f21ec2-688,686b6342-8f5,2109a64d-7,F,2022-May-11 00:00:00,2024-Nov-27 00:00:00,1,56ff8eea,f6fff61d,False,127.0,8.0,,59cbaa50,53f4f9e8,9.0,136.0,4.0,832.0,806.0,,799.0,133.0,129.0,,,,,ENG,8,,1,,,,O,,
0f61728c-0fd,SCH4,2018-Dec-07 00:00:00,SUR8822,FOR7984,MID6792,PSUR1074,FSUR8730,21191eed-88b,f0df92d8-781,a125c804-2,M,2022-Apr-07 00:00:00,2024-Sep-24 00:00:00,1,55dfc58d,1d9d8899,False,129.0,8.0,,b507a116,669a1ef1,8.0,132.0,3.0,784.0,848.0,127.0,798.0,130.0,128.0,,,,N,ENG,E1,,,,,L,,,
0f665c65-dc2,SCH8,2015-Dec-03 00:00:00,SUR5035,FOR2311,MID8821,PSUR8318,FSUR5610,5be3d7c3-0bd,879aaf04-271,27e6891f-3,F,2021-Apr-22 00:00:00,2024-Oct-06 00:00:00,1,11e52f82,63d6649f,True,127.0,7.0,,38280046,5ea217df,8.0,132.0,3.0,727.0,758.0,128.0,789.0,135.0,129.0,,,3.0,,ENG,10,,,,,,,A,
1071e2d9-c65,SCH5,2015-Oct-19 00:00:00,SUR9899,FOR6780,MID5349,PSUR7232,FSUR4514,8e0468fc-161,8f50c97c-6ef,22f8f269-0,F,2024-Aug-07 00:00:00,2024-Nov-25 00:00:00,1,ebf3c7cc,d5cf56c1,False,125.0,8.0,4.0,7427d997,1b372a87,8.0,130.0,,773.0,743.0,129.0,792.0,,125.0,3.0,,3.0,,ENG,14,,,,,F,,,9
112d828e-d30,SCH3,2012-Sep-30 00:00:00,SUR3705,FOR1006,MID3621,PSUR8837,FSUR9535,864f1785-b1c,c2fc015c-c3d,ef04dbda-3,M,2022-Nov-04 00:00:00,2024-Oct-25 00:00:00,1,528d3c70,9bab9707,True,137.0,7.0,,ec4cf634,ab0dad6f,8.0,127.0,,817.0,796.0,124.0,,139.0,134.0,,,,,ENG,5,,,,,,,6,
11c1db33-719,SCH3,2014-Dec-10 00:00:00,SUR1662,FOR8553,MID8836,PSUR4205,FSUR5512,459856a3-edb,dfde4d4b-318,c0a235c9-f,F,2021-Jun-02 00:00:00,2024-Dec-13 00:00:00,1,414ec460,d21ba14b,True,125.0,8.0,2.0,3a59eff8,d0816a78,8.0,134.0,,772.0,747.0,127.0,782.0,115.0,135.0,3.0,2.0,,,ENG,E2,,,,3,,,,
12006ab5-3c9,SCH4,2013-Feb-17 00:00:00,SUR7205,FOR5849,MID5109,PSUR3290,FSUR7000,bc4abd57-a42,98e0b0d2-b22,c3608d43-3,M,2023-Jul-01 00:00:00,2024-Nov-19 00:00:00,1,4987af6d,3c9fe836,False,123.0,7.0,3.0,29f53906,7cf7065b,,120.0,,818.0,780.0,140.0,797.0,128.0,128.0,,,,,CYM,4,,,6,,F,,,
12975d34-d08,SCH1,2015-Sep-19 00:00:00,SUR3472,FOR5150,MID4435,PSUR7328,FSUR6667,7d511651-832,2a87970b-d9a,b9f74e05-6,F,2021-Dec-06 00:00:00,2024-Sep-20 00:00:00,1,fe0b491f,62882fc5,False,128.0,7.0,,0edcc0ef,fc15fca9,8.0,132.0,3.0,796.0,795.0,126.0,738.0,134.0,128.0,,2.0,,,ENG,8,,,5,3,,,3,
1443ef7d-d85,SCH6,2009-Feb-07 00:00:00,SUR1538,FOR2452,MID9582,PSUR5221,FSUR3056,1a7cc1a7-9f0,10376c60-1f1,cb94fe4e-8,M,2024-Jun-30 00:00:00,2024-Nov-24 00:00:00,1,adc300b0,87de0b6d,False,130.0,,,9951e5d6,14333df6,8.0,131.0,,787.0,819.0,128.0,802.0,142.0,142.0,,4.0,,6,ENG,7,,,G,2,,,,
14784faa-02d,SCH4,2020-Apr-29 00:00:00,SUR4224,FOR8554,MID4224,PSUR7369,FSUR3327,6f4967fc-718,aff75fcc-0c4,9c64c4c1-a,M,2023-Aug-26 00:00:00,2024-Sep-05 00:00:00,1,8a60780b,5617a9fd,False,132.0,,,20bf8e5b,8a2623fb,9.0,127.0,3.0,793.0,799.0,132.0,794.0,135.0,128.0,,,,,ENG,8,,1,,1,N,,6,
15599ab9-8db,SCH3,2011-Mar-26 00:00:00,SUR5737,FOR3234,MID5177,PSUR5076,FSUR9514,a06b1f82-152,8b0c78bc-b51,eb5729ce-f,M,2024-Oct-06 00:00:00,2024-Nov-20 00:00:00,1,8d9e89fa,67e9c6f8,False,132.0,,,7a76dc11,44005a30,8.0,131.0,3.0,781.0,716.0,132.0,800.0,134.0,128.0,,,,,ENG,11,,,E,,,,,
1562cc94-53b,SCH5,2014-Dec-19 00:00:00,SUR5731,FOR1505,MID2951,PSUR6441,FSUR7658,c83abe07-0a3,0c6b1109-b2a,e62e9a84-0,F,2024-Mar-23 00:00:00,2024-Sep-19 00:00:00,1,436110e1,b2ba40c0,False,131.0,8.0,,5e461a00,47b573de,9.0,134.0,,758.0,747.0,127.0,781.0,122.0,133.0,,3.0,,,UKR,9,6,,,,,N,,
1562cc94-53b,SCH3,2014-Dec-19 00:00:00,SUR5731,FOR1505,MID2951,PSUR6441,FSUR7658,c83abe07-0a3,0c6b1109-b2a,e62e9a84-0,F,2024-Sep-20 00:00:00,2024-Sep-28 00:00:00,2,ae5952e4,7bcde1ad,True,134.0,8.0,,b3f45c42,6379323c,,124.0,,799.0,728.0,136.0,754.0,130.0,136.0,,,,,CYM,R,,,5,,,,,
163ef103-bdf,SCH3,2011-Jul-17 00:00:00,SUR6018,FOR9269,MID5541,PSUR8005,FSUR8187,7c49155b-04f,6632395a-45a,04c32e6c-e,M,2023-May-13 00:00:00,2024-Oct-09 00:00:00,1,ddf91af6,14c98122,True,133.0,8.0,,f4eb2b49,b42b23d9,8.0,136.0,,788.0,756.0,131.0,811.0,128.0,127.0,,,,,ENG,8,,,,,O,,D,
1654402c-bea,SCH8,2015-Dec-28 00:00:00,SUR7625,FOR7622,MID4414,PSUR5770,FSUR3557,3068e62f-705,abd0f4a9-635,10e68c1d-b,M,2023-Jan-01 00:00:00,2024-Sep-29 00:00:00,1,830e1666,677171cc,False,127.0,8.0,,aee5737f,a9309a45,,130.0,,739.0,815.0,137.0,801.0,122.0,128.0,,,,,ENG,11,,,,,F,,,
168eb4ea-88e,SCH3,2007-Nov-19 00:00:00,SUR2384,FOR4976,MID6080,PSUR3898,FSUR9300,285c70cf-a78,78845c84-6f0,db34b58d-b,F,2022-May-19 00:00:00,2024-Sep-20 00:00:00,1,d7ea8c18,6c3e682b,True,130.0,8.0,,d55374df,20d834dc,8.0,132.0,,806.0,772.0,128.0,824.0,126.0,130.0,,,,,BNG,E2,,,,,,,,
16cc8db8-9ef,SCH1,2015-Jun-22 00:00:00,SUR1921,FOR9980,MID7841,PSUR4909,FSUR2064,c4ca5882-6c6,f1f33014-821,1663c09e-5,M,2023-Dec-07 00:00:00,2024-Oct-06 00:00:00,1,68a60631,5e286daa,,134.0,7.0,3.0,d0fa7d1a,11499cdd,,125.0,,786.0,750.0,129.0,755.0,129.0,121.0,,,,,GER,8,,,,,,N,,
16cc8db8-9ef,SCH6,2015-Jun-22 00:00:00,SUR1921,FOR9980,MID7841,PSUR4909,FSUR2064,c4ca5882-6c6,f1f33014-821,1663c09e-5,M,2024-Oct-07 00:00:00,2024-Dec-18 00:00:00,2,1ec6e30e,f073eb62,,143.0,7.0,,bc4b175c,db136c31,9.0,136.0,,747.0,761.0,121.0,792.0,126.0,128.0,4.0,4.0,,,BEL,R,,,,,,,9,
16d4ed7f-9ee,SCH2,2011-Apr-30 00:00:00,SUR3879,FOR4477,MID9388,PSUR5279,FSUR9648,c35db2e9-518,41a26376-d57,e48a0842-3,F,2022-Jan-30 00:00:00,2024-Sep-11 00:00:00,1,526ef8ba,64bfa6bf,False,128.0,8.0,,cc0915ec,a2bf7f75,8.0,132.0,,765.0,785.0,133.0,760.0,131.0,129.0,3.0,,,,ENG,8,,1,,,,F,,
1731e571-660,SCH4,2015-Jan-06 00:00:00,SUR4178,FOR8939,MID9441,PSUR7293,FSUR7052,6002735a-224,a3059462-706,d2d4aea7-d,M,2019-Jul-31 00:00:00,2024-Nov-09 00:00:00,1,ebc58fd7,d6e281f7,False,127.0,8.0,3.0,940dbc1b,05263510,8.0,127.0,,837.0,765.0,134.0,755.0,130.0,133.0,2.0,,,,UKR,1,,,,,U,,,
1893358a-01a,SCH5,2016-Nov-06 00:00:00,SUR7805,FOR7541,MID1560,PSUR3130,FSUR8076,27702f73-1ee,3d7a6b39-370,14a5a216-1,F,2018-Sep-27 00:00:00,2024-Nov-13 00:00:00,1,bb24b936,a871238d,False,132.0,8.0,,32fab9d0,282182a2,8.0,129.0,,804.0,797.0,136.0,759.0,128.0,136.0,3.0,,,,ENG,10,,,,,,L,,
18c2cbf3-3cf,SCH8,2020-Aug-31 00:00:00,SUR7087,FOR9093,MID7493,PSUR6957,FSUR5685,c6c8e5a9-588,e895e9bf-d9d,76038040-b,M,2022-Sep-04 00:00:00,2024-Oct-13 00:00:00,1,3b7c002b,8053ee98,False,124.0,7.0,,2072b361,485a556d,7.0,136.0,2.0,721.0,721.0,131.0,739.0,131.0,125.0,,,,,ENG,E2,,,,,,,7,
1954a7ee-06b,SCH7,2018-Feb-04 00:00:00,SUR2369,FOR4410,MID1299,PSUR9425,FSUR8204,bb1dd23d-1a5,a30c4f6a-642,b78b54a5-6,F,2024-May-20 00:00:00,2024-Nov-21 00:00:00,1,f6eeebea,ba14b993,False,134.0,8.0,,bd37b6a5,999cbfce,7.0,138.0,3.0,786.0,793.0,129.0,726.0,128.0,130.0,,,4.0,,ENG,11,,,,,,,,3
1a3e9dee-5ba,SCH8,2015-Apr-28 00:00:00,SUR9644,FOR6374,MID3662,PSUR8032,FSUR2549,19c3c466-524,e923bad8-5da,763c2588-5,M,2023-Nov-22 00:00:00,2024-Sep-07 00:00:00,1,ca1f5927,72be4330,False,139.0,8.0,,bad65001,e350c59c,9.0,138.0,,782.0,767.0,133.0,713.0,129.0,126.0,,4.0,,6,UKR,4,,,,,N,,,
1b79dc2b-dd0,SCH2,2015-Dec-13 00:00:00,SUR1248,FOR2339,MID8603,PSUR6218,FSUR9038,2dd0c5b5-b80,eed5cc65-713,ed37aecd-3,F,2024-Nov-13 00:00:00,2024-Dec-01 00:00:00,1,f4d7984e,85d8ee75,False,123.0,8.0,3.0,29569a9a,360238f5,8.0,136.0,,752.0,742.0,134.0,756.0,133.0,134.0,,,,,ENG,E2,,2,6,1,,,,
1d4d45cb-6e1,SCH6,2011-Oct-05 00:00:00,SUR4172,FOR3761,MID5303,PSUR9686,FSUR7572,e4429a36-679,9a7f75b8-d5d,71f44636-f,M,2022-Oct-22 00:00:00,2024-Dec-01 00:00:00,1,c9df28cf,543b5f53,False,131.0,7.0,,d3041a34,4f27c5e6,8.0,137.0,,774.0,813.0,128.0,784.0,130.0,126.0,,,3.0,,,10,,,7,,,,B,E
1d7b2d8f-5f0,SCH1,2016-Sep-22 00:00:00,SUR7715,FOR8071,MID7422,PSUR4754,FSUR2726,ba02f0c4-46c,cf1f87eb-6c5,87cd7411-7,F,2022-Nov-15 00:00:00,2024-Oct-27 00:00:00,1,9d67c204,908f29f7,False,129.0,8.0,3.0,95ef0ee6,540620d0,9.0,133.0,,793.0,803.0,126.0,751.0,115.0,132.0,3.0,,,,PNJA,10,,,,,,N,,B
1d7cbbae-4fd,SCH5,2013-Apr-01 00:00:00,SUR9914,FOR4530,MID5336,PSUR7333,FSUR9816,a39ae020-5b5,db83774f-b5f,0d424bec-b,F,2023-Apr-05 00:00:00,2024-Oct-16 00:00:00,1,48166086,b600a3e6,False,124.0,8.0,,29af8a35,270f95ed,7.0,132.0,,792.0,770.0,131.0,764.0,135.0,119.0,4.0,,3.0,,ENG,7,,,,,,,,
1e9de64f-25b,SCH6,2012-Sep-04 00:00:00,SUR2552,FOR2133,MID5955,PSUR5951,FSUR8701,eee6ac70-7e2,4200f36d-522,1da8e174-2,F,2024-Oct-02 00:00:00,2024-Dec-15 00:00:00,1,19a3cf00,5a970b54,True,139.0,8.0,3.0,31ce1294,122002a6,8.0,127.0,,784.0,788.0,131.0,,135.0,129.0,,,,7,,N1,,,,,O,,,
1ebec59e-da5,SCH5,2014-Aug-17 00:00:00,SUR2480,FOR1263,MID4818,PSUR8953,FSUR5986,73e66cd6-18e,37516286-743,1109de16-6,M,2023-May-13 00:00:00,2024-Sep-08 00:00:00,1,2175af90,e14b0af2,False,127.0,8.0,,d491b1f6,201f946d,8.0,135.0,3.0,789.0,749.0,138.0,768.0,133.0,138.0,,4.0,3.0,,ENG,9,,1,,,,,,
1f828f95-542,SCH3,2018-Aug-02 00:00:00,SUR4760,FOR6212,MID6152,PSUR5627,FSUR6613,0f0bcc56-c91,fb58a9a9-665,a2d8f404-5,F,2024-Aug-07 00:00:00,2024-Nov-02 00:00:00,1,c258ed2b,8bc7c7ee,False,131.0,,4.0,d496dac6,35131c41,7.0,124.0,,779.0,804.0,128.0,780.0,122.0,130.0,,,,,ENG,N2,,,,,O,,,
20d86a54-a15,SCH8,2009-Nov-22 00:00:00,SUR4943,FOR3122,MID4269,PSUR6788,FSUR5633,3cbbf953-a6a,2213fc67-eeb,50c67a68-0,M,2023-Mar-17 00:00:00,2024-Dec-20 00:00:00,1,dce0fe00,a5a8837c,False,129.0,,,273cfc54,bc01a0ec,8.0,123.0,,776.0,781.0,134.0,846.0,121.0,125.0,,,,,ENG,5,,,6,,O,,,
22116cd2-249,SCH2,2012-Mar-07 00:00:00,SUR4436,FOR2420,MID4433,PSUR3848,FSUR7100,ff9292c8-1c4,c3ae10de-c47,c6da6783-9,M,2024-Feb-20 00:00:00,2024-Dec-20 00:00:00,1,ca155ee8,39a68b63,False,138.0,7.0,,496e7e00,c58b3345,7.0,133.0,,840.0,728.0,127.0,794.0,122.0,126.0,3.0,,,,ENG,N1,,,,,,,,8
2275ad2c-647,SCH2,2014-Oct-17 00:00:00,SUR7188,FOR7951,MID5703,PSUR3803,FSUR6966,4a12607e-4a3,40a56b25-ae5,a211f000-2,F,2019-Jul-28 00:00:00,2024-Dec-17 00:00:00,1,ad66eb70,19272294,False,127.0,7.0,3.0,c9660cd5,0c06ad03,,129.0,,821.0,781.0,131.0,774.0,125.0,128.0,,,3.0,N,ENG,1,,,A*,,,,,
24086543-42d,SCH5,2010-Nov-10 00:00:00,SUR6351,FOR5059,MID5917,PSUR7786,FSUR7517,2d436ead-94e,849ce972-4d4,33ea879d-1,M,2024-Apr-01 00:00:00,2024-Sep-24 00:00:00,1,546a7019,ffccdc71,True,130.0,9.0,,5401f4d2,c55c02b5,8.0,127.0,,758.0,792.0,129.0,760.0,132.0,129.0,,,,,,5,,,,2,,F,,
247075c4-446,SCH5,2014-Jun-05 00:00:00,SUR9208,FOR5673,MID5436,PSUR3263,FSUR8448,6873e687-f8b,a03d247b-574,f649fcc2-3,F,2024-Jul-22 00:00:00,2024-Sep-21 00:00:00,1,7ddd441c,f11a0bf3,False,130.0,8.0,3.0,5f5917bd,d27689a5,7.0,128.0,,781.0,741.0,133.0,827.0,129.0,134.0,,,,,PNJA,5,,,,,,,,
26670992-04f,SCH4,2014-Aug-16 00:00:00,SUR5442,FOR2157,MID5036,PSUR2078,FSUR2736,72df0d57-ff7,31e16a82-705,21b50070-4,F,2024-May-01 00:00:00,2024-Sep-23 00:00:00,1,5162b970,9e5df7d0,False,130.0,9.0,,00a61c5f,001c02e7,8.0,139.0,,718.0,801.0,125.0,729.0,128.0,,3.0,,2.0,,ENG,9,,,,,,,,
26c5dfea-fc4,SCH7,2010-Jul-13 00:00:00,SUR2749,FOR1808,MID3847,PSUR4274,FSUR1448,74a56715-fe3,7169966e-f15,9d5d79f3-e,F,2024-Aug-03 00:00:00,2024-Oct-27 00:00:00,1,2a2dffd8,9389dcec,False,140.0,7.0,,8cb50fc4,772539c4,9.0,135.0,,769.0,761.0,131.0,827.0,142.0,124.0,,,4.0,,PNJA,R,,,6,,,,,8
276b1e45-2cd,SCH5,2018-May-13 00:00:00,SUR2922,FOR8586,MID9672,PSUR4699,FSUR7919,d3f4ceb8-2ca,70c1cc12-ff3,8be57170-3,F,2024-Sep-30 00:00:00,2024-Oct-11 00:00:00,1,657ca26d,56e5986f,False,131.0,8.0,3.0,19ca9557,82b1df75,8.0,138.0,,755.0,748.0,134.0,826.0,137.0,126.0,,,,,ENG,11,,,9,,,,5,
276b1e45-2cd,SCH1,2018-May-13 00:00:00,SUR2922,FOR8586,MID9672,PSUR4699,FSUR7919,d3f4ceb8-2ca,70c1cc12-ff3,8be57170-3,F,2024-Oct-12 00:00:00,2024-Dec-13 00:00:00,2,471b13c3,e863e174,False,132.0,8.0,3.0,d429444e,a4c38e8d,9.0,125.0,3.0,808.0,777.0,,780.0,137.0,124.0,,,3.0,,ENG,10,,,,,,,,
27746f0c-2a4,SCH5,2012-Mar-31 00:00:00,SUR4560,FOR5193,MID7853,PSUR3507,FSUR7695,110c7616-899,d7c99c2f-e19,86d0bc74-7,F,2024-Feb-08 00:00:00,2024-Sep-08 00:00:00,1,2569ce7c,27ab340c,False,127.0,8.0,3.0,0d2a1a45,bbf2c2fd,,140.0,,785.0,804.0,128.0,735.0,130.0,124.0,3.0,,,,ENG,11,,1,,,,,8,
283fb12f-a07,SCH7,2018-May-27 00:00:00,SUR7927,FOR1808,MID3498,PSUR6513,FSUR6937,e4fc08ed-763,0a6171d2-cdd,da4e2a66-9,F,2024-Apr-17 00:00:00,2024-Dec-18 00:00:00,1,f6d433e5,50413f3a,,130.0,,,427c9b3d,d5224d1c,8.0,120.0,,784.0,806.0,129.0,761.0,131.0,125.0,,,,,CYM,9,,,,,,,6,
28bd0049-3b0,SCH6,2013-Jun-28 00:00:00,SUR5762,FOR3692,MID7893,PSUR3414,FSUR3990,fe88c6c3-744,36d0f9cb-ebd,e6a914aa-6,F,2024-Jun-30 00:00:00,2024-Oct-02 00:00:00,1,1318c755,dff2ceeb,False,120.0,8.0,3.0,3af65d93,17d579f5,8.0,127.0,,801.0,834.0,124.0,749.0,136.0,128.0,,3.0,,,CYM,4,,,,,F,,,
28f9c03e-592,SCH1,2016-Jul-12 00:00:00,SUR9190,FOR5801,MID7292,PSUR4536,FSUR4405,b34097cb-f08,141f82ff-743,d3d93e01-d,F,2024-Sep-29 00:00:00,2024-Oct-02 00:00:00,1,029622f3,31f6c2ff,False,128.0,7.0,,1fd2f1c7,77c21fa8,8.0,134.0,,762.0,790.0,126.0,817.0,133.0,123.0,,3.0,,,ENG,1,A,,9,2,,,,
299dc74b-cf5,SCH4,2009-Jul-14 00:00:00,SUR1274,FOR1522,MID5885,PSUR1124,FSUR9376,e3067f1f-33d,c194860d-528,4020e567-0,F,2022-Jan-15 00:00:00,2024-Nov-10 00:00:00,1,1ba6d919,242a6732,False,135.0,,,c5450a5b,00d39446,8.0,127.0,,739.0,736.0,127.0,759.0,125.0,130.0,3.0,,,,PNJA,2,,1,,,,,,
2b7b8941-9c4,SCH7,2009-Feb-17 00:00:00,SUR2360,FOR9723,MID6154,PSUR4661,FSUR6297,e3833cf1-6ca,a7c9fca2-3e0,fc9b25b0-9,M,2023-Sep-06 00:00:00,2024-Sep-24 00:00:00,1,60e5c24e,d22d6fd7,False,120.0,8.0,,fb8b201e,da6169e9,8.0,132.0,3.0,804.0,807.0,133.0,794.0,136.0,134.0,4.0,,,,ENG,9,,3,,,L,,,
2cbd0b69-214,SCH7,2014-Mar-17 00:00:00,SUR3121,FOR2311,MID7111,PSUR4004,FSUR3019,ad234b9e-3d9,a3cad5fd-1c3,73abbcdc-4,F,2023-Apr-16 00:00:00,2024-Sep-18 00:00:00,1,da4161c4,8a595e50,False,117.0,8.0,,5344253e,c95aee9b,,133.0,,778.0,787.0,129.0,758.0,131.0,125.0,,3.0,,,ENG,7,,,7,1,,,,
