pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,moveonrollflag,ethnicity,boarder,language
09ed45af-b88,SCH8,2020-May-09 00:00:00,SUR6504,FOR5384,MID4065,PSUR2930,FSUR7029,513833b1-8f7,ec78a420-693,ce1ad12f-2,M,2023-Feb-08 00:00:00,2025-Feb-24 00:00:00,1,772bdfb6,5042f0a0,False,127.0,cb8843f9,WCRO,,CYM
0af03596-b07,SCH6,2010-Nov-16 00:00:00,SUR2205,FOR8404,MID8081,PSUR4444,FSUR8002,b4d79d32-2f9,c60c4257-4cd,28e90a17-4,F,2025-Jan-03 00:00:00,2025-Mar-24 00:00:00,1,8b42d33c,0079507a,False,132.0,5e609f08,REFU,,ENG
0d16bc77-ec7,SCH7,2019-Mar-25 00:00:00,SUR5321,FOR4183,MID9864,PSUR3858,FSUR9184,7b89d8fc-106,bc6816ef-1a1,cb40178e-8,F,2024-Apr-10 00:00:00,2025-Jan-24 00:00:00,1,1e92c683,61f4d690,False,129.0,d6186991,OYEM,N,ENG
0d6cae32-9fa,SCH8,2009-May-22 00:00:00,SUR5653,FOR3748,MID3570,PSUR4923,FSUR4771,05094ca8-a35,6b838fb8-6fd,30e1d1a1-c,M,2024-Nov-14 00:00:00,2025-Apr-09 00:00:00,1,b3605a70,aabcffb8,False,127.0,b9139486,OKRD,,ENG
0df96030-c04,SCH8,2014-Dec-06 00:00:00,SUR7192,FOR5702,MID9746,PSUR2746,FSUR5945,5ecc1fd9-f7b,6c93b97d-523,b6595947-e,F,2022-Apr-19 00:00:00,2025-Feb-04 00:00:00,1,a5015d41,f3e6518f,False,141.0,148202b9,BANN,,
0e315e6f-4c0,SCH2,2017-Nov-11 00:00:00,SUR3198,FOR2407,MID9189,PSUR7980,FSUR1655,dd8e7c5d-1fd,20d5957f-570,d6fa60a4-c,M,2023-Nov-25 00:00:00,2025-Mar-31 00:00:00,1,ddf46471,cd8ba96f,False,130.0,38e0cc43,NOBT,,ENG
10147ae0-5d5,SCH6,2008-Aug-31 00:00:00,SUR9888,FOR4677,MID8973,PSUR6172,FSUR2045,ec81e5fb-910,6b94baa2-c26,b830d83c-7,F,2024-Aug-28 00:00:00,2025-Jan-29 00:00:00,1,0afd8027,967f4cd0,False,122.0,7e69157b,WROM,,ENG
108085dc-6ae,SCH5,2018-Mar-20 00:00:00,SUR1415,FOR7642,MID1629,PSUR4328,FSUR1318,e68ed693-91a,afb355ab-4ba,b24639cf-c,M,2025-Jan-06 00:00:00,2025-Feb-28 00:00:00,1,d79c5110,f697f2eb,False,126.0,ec6df294,ANEP,,
10e12ddb-bd9,SCH7,2018-Jul-04 00:00:00,SUR4813,FOR3197,MID5939,PSUR1501,FSUR1844,fc751606-6dc,58dc219d-d82,d0ede0c2-6,M,2022-Jun-20 00:00:00,2025-Apr-10 00:00:00,1,a0ea04c7,152a6eb3,False,126.0,1eb2eb17,AAFR,,ENG
113ec861-8da,SCH7,2007-Sep-29 00:00:00,SUR2316,FOR7441,MID4898,PSUR4475,FSUR8340,1980e31e-8a7,e8f19f0a-e5e,4349ff15-b,F,2024-Aug-06 00:00:00,2025-Mar-15 00:00:00,1,eb468483,3aa908b7,False,138.0,97888717,WBOS,,ENG
1141c6ee-c5b,SCH2,2019-Jun-18 00:00:00,SUR5430,FOR2695,MID4835,PSUR7872,FSUR6178,f69f0dce-39f,08739dd4-8d1,0d3a3625-1,M,2025-Jan-20 00:00:00,2025-Feb-14 00:00:00,1,bdbf2402,9ed82c48,False,130.0,4144d595,MOTM,,ENG
117fa922-395,SCH1,2020-Jan-22 00:00:00,SUR5531,FOR1595,MID8357,PSUR6315,FSUR5347,fb06eed0-239,69bc3422-f2f,a0404d65-e,M,2019-Aug-22 00:00:00,2025-Mar-17 00:00:00,1,47275632,5d33f2e8,False,135.0,4e45123a,OOEG,,ENG
11b6cfc3-a01,SCH6,2011-Feb-20 00:00:00,SUR6236,FOR4696,MID8938,PSUR3948,FSUR1580,bab73e8a-e0b,da66e3a4-444,92fa803b-0,M,2024-Dec-18 00:00:00,2025-Mar-17 00:00:00,1,36dffc1c,14160148,False,137.0,fbdc91ac,NOBT,,ENG
135cb737-723,SCH4,2014-Jul-16 00:00:00,SUR7641,FOR4690,MID4999,PSUR8814,FSUR6938,d7cc489b-246,fdc4869c-5c1,1ceaaa85-b,M,2024-May-10 00:00:00,2025-Feb-17 00:00:00,1,9e7ce7c7,feefa84c,False,121.0,153e0141,WROR,,GAL
1393883e-1d7,SCH7,2018-Apr-02 00:00:00,SUR3720,FOR5579,MID9813,PSUR6804,FSUR8723,e8425641-4df,b3fe54cf-06a,382a31c2-0,F,2020-Oct-19 00:00:00,2025-Mar-24 00:00:00,1,dce43967,5b127114,False,130.0,63c1d17a,ASRO,,ENG
15d1abfc-46c,SCH4,2010-Jul-19 00:00:00,SUR7791,FOR2905,MID5772,PSUR4011,FSUR2444,92248b57-539,4157bf0e-788,81aaad51-1,F,2024-Feb-22 00:00:00,2025-Mar-10 00:00:00,1,e46d70cb,069099ce,False,122.0,0b398c7d,WIRT,,ENG
16d4ed7f-9ee,SCH7,2011-Apr-30 00:00:00,SUR3879,FOR4477,MID9388,PSUR5279,FSUR9648,c35db2e9-518,41a26376-d57,e48a0842-3,F,2024-Sep-12 00:00:00,2025-Jan-25 00:00:00,1,43c153dc,fd245cdf,False,141.0,66500b34,OVIE,,ENG
1731e571-660,SCH5,2015-Jan-06 00:00:00,SUR4178,FOR8939,MID9441,PSUR7293,FSUR7052,6002735a-224,a3059462-706,d2d4aea7-d,M,2024-Nov-10 00:00:00,2025-Mar-05 00:00:00,1,90fdbe71,fc91aab0,,133.0,55a9b5bc,OVIE,,ENG
18084b89-c42,SCH1,2019-Mar-12 00:00:00,SUR5442,FOR2501,MID9382,PSUR6989,FSUR4191,dec1abb6-962,65e834aa-df0,3173d35e-8,M,2021-Jun-02 00:00:00,2025-Mar-28 00:00:00,1,8e6b6a46,031cc773,True,135.0,8b1309ba,MCOE,,ENG
196286d5-f4f,SCH5,2017-Apr-15 00:00:00,SUR9814,FOR6578,MID6760,PSUR1657,FSUR9241,29000473-9c7,b3036ee0-650,c8014e82-5,F,2020-May-09 00:00:00,2025-Feb-13 00:00:00,1,bd8c4f48,243fa32e,False,125.0,a06292eb,OTHA,,ENG
19d4247c-f8a,SCH5,2009-Aug-28 00:00:00,SUR3099,FOR3648,MID8602,PSUR5686,FSUR5096,5fcdcec0-694,eca95b7f-694,71d861a1-7,M,2018-Oct-12 00:00:00,2025-Jan-25 00:00:00,1,46fb7c69,84740825,False,136.0,ba3a38c1,WOWB,,ENG
1a8bed4b-952,SCH1,2015-Mar-04 00:00:00,SUR3729,FOR3979,MID3182,PSUR6849,FSUR9467,97959ac8-b75,44caea48-228,02baabf9-a,F,2025-Feb-04 00:00:00,2025-Mar-06 00:00:00,1,76c22316,a60170f7,False,143.0,e354d60a,WBRI,,
1ad4004c-411,SCH2,2018-Jul-23 00:00:00,SUR1791,FOR3540,MID2992,PSUR3111,FSUR8465,818662a6-550,7e37ec09-7fd,de71befd-7,M,2025-Feb-12 00:00:00,2025-Apr-09 00:00:00,1,f3ec3ea7,ad629027,False,127.0,360bdcc3,WIRT,,
1c8f05e0-25e,SCH5,2016-Apr-07 00:00:00,SUR8913,FOR5320,MID1441,PSUR1926,FSUR2886,b8a9d24d-9fe,2ca4dc5c-1fc,087460c2-8,F,2023-Jan-09 00:00:00,2025-Apr-06 00:00:00,1,6e94c318,dfb46594,True,128.0,d6d2258e,AWEL,,ENG
1caac0e7-293,SCH4,2019-Feb-07 00:00:00,SUR2023,FOR5714,MID7443,PSUR1074,FSUR3813,b4d3d3af-fdf,f6fb27e2-353,db9d0495-c,M,2024-May-04 00:00:00,2025-Apr-09 00:00:00,1,e0909e07,9f6796ce,True,130.0,ed96f111,WNIR,,ENG
1d7cbbae-4fd,SCH8,2013-Apr-01 00:00:00,SUR9914,FOR4530,MID5336,PSUR7333,FSUR9816,a39ae020-5b5,db83774f-b5f,0d424bec-b,F,2024-Oct-17 00:00:00,2025-Feb-13 00:00:00,1,8e8a4787,4649eb19,True,125.0,dff7a47b,OJPN,,CHI
1ee6e6fe-22e,SCH2,2013-Aug-29 00:00:00,SUR3376,FOR7600,MID8426,PSUR7246,FSUR6193,53f51479-3cf,8c274b4f-d23,cac151c3-5,M,2022-Mar-04 00:00:00,2025-Jan-12 00:00:00,1,5e03337f,113ef113,,133.0,9fbfc70d,MBOE,,ENG
1ef37aba-31d,SCH1,2011-Sep-23 00:00:00,SUR1526,FOR6375,MID7611,PSUR9671,FSUR7082,f721fbaa-a76,d2753e8c-1bf,5c45c51f-2,M,2024-Jul-13 00:00:00,2025-Mar-19 00:00:00,1,d626ae9f,5271a2a7,False,133.0,d0bfb48e,MACH,,ENG
1f0fbb1d-63f,SCH5,2014-Mar-10 00:00:00,SUR1917,FOR5173,MID4049,PSUR6436,FSUR6716,e5b1b2da-f30,5c4be509-907,7a7292f6-f,F,2025-Jan-28 00:00:00,2025-Feb-07 00:00:00,1,b0de7483,b50111cb,False,130.0,da73729b,,,ENG
1fe733f9-e68,SCH3,2017-Dec-22 00:00:00,SUR6711,FOR5892,MID7024,PSUR7777,FSUR6897,b982f0d1-7ac,8e7d4b18-7d5,3a5fa068-4,F,2024-Feb-05 00:00:00,2025-Jan-07 00:00:00,1,926cc9af,b9017139,True,129.0,460bee07,WBRI,,
2319f69f-402,SCH8,2019-Jun-09 00:00:00,SUR8034,FOR5970,MID7086,PSUR3912,FSUR2002,709be58c-e58,1e6a2806-822,643c2ddb-0,M,2023-Dec-16 00:00:00,2025-Mar-03 00:00:00,1,04bdb59d,a9c4b99f,False,135.0,47046133,,N,ENG
2320235d-768,SCH3,2013-Jan-23 00:00:00,SUR1301,FOR2316,MID6247,PSUR7753,FSUR5839,2728edf4-c78,2c49b9c0-411,e511d86a-2,M,2022-Oct-28 00:00:00,2025-Feb-14 00:00:00,1,04ec7d63,b7695a8f,False,129.0,459f1183,AAFR,,CYM
23d2b1a8-4a6,SCH2,2018-Apr-13 00:00:00,SUR2843,FOR5447,MID2816,PSUR3301,FSUR2661,497530f7-b2a,6cd035cf-ba3,b486dcfb-b,M,2019-May-12 00:00:00,2025-Apr-04 00:00:00,1,435a433f,eb6cb3fc,False,123.0,633c8e8d,WBOS,N,PNJA
240ea586-475,SCH1,2011-Apr-13 00:00:00,SUR9972,FOR1382,MID7302,PSUR2361,FSUR5850,aba04ec8-5ea,b55afe38-d2f,7af4feb3-2,F,2023-May-10 00:00:00,2025-Mar-18 00:00:00,1,adac3efa,603a764c,False,128.0,f1bfec57,WOWB,,ENG
2447c604-0f0,SCH3,2011-Apr-15 00:00:00,SUR1340,FOR3240,MID4906,PSUR5941,FSUR1063,328f3f10-f3e,f3402eba-c6c,0d14d863-b,F,2024-Jul-12 00:00:00,2025-Jan-10 00:00:00,1,8d0e503b,b83e6f8c,False,119.0,d9c4781a,MABL,,
261c07d5-24b,SCH8,2009-Dec-29 00:00:00,SUR8413,FOR1483,MID2026,PSUR6946,FSUR6920,c499da3f-ab9,da656283-9a6,def959c2-d,F,2024-Dec-31 00:00:00,2025-Jan-17 00:00:00,1,692f45aa,c174e8f1,,124.0,9ada205c,BAFR,,
26f741ac-cc9,SCH5,2020-Apr-24 00:00:00,SUR2945,FOR2033,MID2131,PSUR6798,FSUR2980,1dacaa4a-736,6c730309-462,56862360-f,F,2025-Jan-18 00:00:00,2025-Mar-27 00:00:00,1,917447c7,dbe0e9ed,False,126.0,32faf640,,7,CYM
26f78d85-3a3,SCH3,2018-Feb-17 00:00:00,SUR1023,FOR4004,MID8844,PSUR7905,FSUR2996,739f8706-ab2,2ce545fd-f83,c46ed6e9-9,M,2023-Nov-30 00:00:00,2025-Jan-07 00:00:00,1,bf48e649,bb48020a,False,128.0,8f0837e7,CHKC,,GAL
27746f0c-2a4,SCH3,2012-Mar-31 00:00:00,SUR4560,FOR5193,MID7853,PSUR3507,FSUR7695,110c7616-899,d7c99c2f-e19,86d0bc74-7,F,2024-Sep-09 00:00:00,2025-Mar-25 00:00:00,1,ffe1b8e2,6778e3b8,False,127.0,f2c3fcaa,ORAB,N,
280ffb82-71b,SCH8,2009-Oct-01 00:00:00,SUR5176,FOR9584,MID9046,PSUR4795,FSUR5341,144cb01f-508,cdcdd74b-76f,8dd0daf3-7,F,2022-Dec-19 00:00:00,2025-Feb-21 00:00:00,1,0fcd2cfa,de62d31b,,133.0,45c65934,WCOR,,BEL
285efb10-31e,SCH3,2018-Oct-29 00:00:00,SUR8431,FOR2389,MID8097,PSUR2638,FSUR2580,e6f7157f-380,d5cf3948-94f,d0b61d00-1,M,2024-Dec-18 00:00:00,2025-Jan-06 00:00:00,1,7e47b4fb,62e13ec2,False,126.0,434156b7,ASNL,,ENG
29d0d7b5-136,SCH3,2015-Nov-11 00:00:00,SUR5072,FOR8551,MID7360,PSUR4038,FSUR3223,28b0f5b0-56b,df487112-c50,f6242b34-4,F,2024-Dec-01 00:00:00,2025-Jan-18 00:00:00,1,9b79daa7,938d75ef,False,131.0,dcc01e6a,WWEL,,ENG
2a6ecf5a-d37,SCH6,2008-Mar-25 00:00:00,SUR1653,FOR1926,MID4140,PSUR4575,FSUR3564,7347a5c7-dba,dd25be13-f37,20a8454a-0,M,2023-Sep-09 00:00:00,2025-Mar-14 00:00:00,1,7481a91a,9ae24506,False,128.0,3401b02c,OLAM,N,ENG
2aeb5c83-fbb,SCH1,2016-Jul-11 00:00:00,SUR8828,FOR2082,MID5392,PSUR3626,FSUR6265,065caff0-9a6,926380c1-1a1,54796ea8-1,F,2020-Jun-07 00:00:00,2025-Jan-13 00:00:00,1,d837ff8f,ecf4df0d,False,138.0,e703cf87,MOTH,,GER
2bc4de5d-4c1,SCH8,2008-Dec-03 00:00:00,SUR9024,FOR9274,MID6398,PSUR7846,FSUR6532,22d04ec8-0b5,401ad904-026,6f6e6d4b-f,F,2024-Aug-31 00:00:00,2025-Jan-15 00:00:00,1,1f5a359a,54ad032c,True,131.0,d6b3313b,MWCH,,ENG
2c944799-cc6,SCH3,2012-May-21 00:00:00,SUR5219,FOR4817,MID9185,PSUR4943,FSUR2954,2f1b53f1-f24,375222d1-aea,b96bde0c-1,M,2019-Jun-12 00:00:00,2025-Mar-19 00:00:00,1,b8915d30,dd7653ea,False,130.0,a78996f2,MBCH,6,
2ca305ff-d57,SCH4,2020-May-16 00:00:00,SUR7892,FOR7496,MID9665,PSUR3656,FSUR8563,b224cc08-2b3,e19de50e-cb6,0fdaba21-1,M,2022-Jul-09 00:00:00,2025-Mar-08 00:00:00,1,b7aa3981,0879fe05,False,133.0,d5b4ad9a,BSLN,,ENG
2cedf00f-fa8,SCH2,2012-Aug-21 00:00:00,SUR8185,FOR1611,MID2332,PSUR5185,FSUR2801,b1304035-f96,a1f18b3b-43f,f86bc969-b,M,2023-Dec-04 00:00:00,2025-Jan-12 00:00:00,1,8a184d7b,a1c355c8,False,139.0,285b371c,WALB,,CYM
2e8d1eca-d8c,SCH7,2018-Jun-01 00:00:00,SUR6586,FOR5411,MID4319,PSUR7497,FSUR8349,dfd913d6-03c,f7c0a6d3-b61,83686b9b-9,M,2024-Jun-04 00:00:00,2025-Mar-17 00:00:00,1,4f7bdf1f,1e2df1d7,,130.0,389f2294,OJPN,,GAL
2ea8a592-56f,SCH6,2019-Jan-26 00:00:00,SUR5026,FOR4101,MID3532,PSUR5959,FSUR3226,a6c22959-736,0c8d6ef5-d11,9245bf85-5,M,2022-Sep-15 00:00:00,2025-Mar-03 00:00:00,1,97a2b091,36fe087a,False,131.0,515b5eaa,WBRI,,CYM
2f0ceb9a-6d1,SCH8,2011-Jul-14 00:00:00,SUR9259,FOR7055,MID8042,PSUR6296,FSUR3581,4edd039e-4d0,c4f57208-070,12333edf-4,F,2023-Oct-13 00:00:00,2025-Mar-07 00:00:00,1,80d2c27d,314c4627,False,131.0,cf7eb511,OMAL,N,ENG
2fa7ebc9-40a,SCH2,2016-Oct-31 00:00:00,SUR1245,FOR7648,MID6086,PSUR9849,FSUR8871,0a4e1d3c-e1f,490230ec-dcd,ca8c9a9d-9,F,2020-Jun-13 00:00:00,2025-Mar-29 00:00:00,1,08c1ce56,b5a89758,False,125.0,522ffeeb,OTHA,,BEL
3090c5b1-88f,SCH4,2012-Jun-03 00:00:00,SUR1204,FOR4013,MID8558,PSUR4105,FSUR4221,60f2a377-50e,4a6cc509-cf4,1a33a0aa-f,M,2024-Jun-08 00:00:00,2025-Jan-16 00:00:00,1,ad6a8b21,cb15089a,False,132.0,73f21068,WTUR,N,ENG
3103aa3d-76e,SCH2,2018-Aug-06 00:00:00,SUR5630,FOR3339,MID5916,PSUR7534,FSUR1270,2ba19080-a2b,f9506d6d-af0,546ddb4e-1,F,2024-Nov-20 00:00:00,2025-Feb-20 00:00:00,1,9152a99f,0be45f8e,False,131.0,647a0b5c,WOTH,,ENG
32d18bf8-a47,SCH3,2017-Jan-01 00:00:00,SUR9147,FOR6789,MID1678,PSUR8403,FSUR7697,ae22a77f-7ee,f64e0fe3-3b2,b5ea9374-7,F,2023-Dec-14 00:00:00,2025-Feb-05 00:00:00,1,47a50237,764db100,False,125.0,275543e8,CSNG,N,ENG
32d20cc9-f97,SCH8,2014-Oct-15 00:00:00,SUR6285,FOR6100,MID5177,PSUR5103,FSUR2492,2e952429-3fd,331f20b5-f17,5db91bc2-8,M,2024-Feb-27 00:00:00,2025-Mar-08 00:00:00,1,3e6c5d28,6238e430,,133.0,2950116f,MBOE,,GER
3330382f-8f4,SCH1,2019-Feb-25 00:00:00,SUR3676,FOR4475,MID6553,PSUR8345,FSUR7594,ce670300-dcd,26b08df1-f79,1f43c876-c,F,2023-Aug-30 00:00:00,2025-Feb-04 00:00:00,1,853a7e18,25ceddd3,False,136.0,4fc220c9,OTHA,,ENG
3348c7f1-b0d,SCH5,2019-Jan-18 00:00:00,SUR5371,FOR8749,MID4470,PSUR3446,FSUR7232,84ff1552-367,8279cf8b-b1d,7fe1c6a3-9,M,2024-Dec-07 00:00:00,2025-Feb-15 00:00:00,1,cfd22d8a,b572c6fd,False,132.0,5317ae2c,OKRD,,ENG
339bd0a5-3c9,SCH5,2009-Aug-12 00:00:00,SUR2852,FOR5011,MID3519,PSUR5886,FSUR8755,314f6abb-e33,b73f3a74-6c6,0f16a95b-c,F,2019-Nov-27 00:00:00,2025-Mar-03 00:00:00,1,5df4c08d,3eeaebbd,False,125.0,92e331e1,WOWB,,
3481cad2-55d,SCH8,2009-Nov-11 00:00:00,SUR8054,FOR3126,MID9064,PSUR8638,FSUR1137,0b9c4e62-969,86cfa455-848,c3d1cb24-f,F,2025-Jan-03 00:00:00,2025-Feb-06 00:00:00,1,656c5838,58b7f342,False,139.0,51ee5ee2,AOTH,,ENG
34b9b8ec-adf,SCH4,2016-Nov-10 00:00:00,SUR6265,FOR5338,MID4860,PSUR6431,FSUR4655,890ded18-05c,0dc283bf-2cb,178c4ae9-4,F,2021-Dec-20 00:00:00,2025-Mar-16 00:00:00,1,f17536bc,6ece0ab9,False,126.0,0fea2f75,WROG,,
34c9e8bb-41d,SCH4,2011-Oct-20 00:00:00,SUR8210,FOR7475,MID2929,PSUR1240,FSUR4625,f64b1984-8e4,185d4fb0-6eb,ecb2ccb9-9,M,2023-Nov-20 00:00:00,2025-Mar-18 00:00:00,1,366944a0,7af1cd01,False,129.0,268a7ec6,MBOE,,
35256145-04a,SCH7,2013-Mar-14 00:00:00,SUR6678,FOR1025,MID8751,PSUR6072,FSUR1375,09ad9c32-9ae,2789e80d-01d,52866e4d-f,F,2023-Aug-27 00:00:00,2025-Mar-25 00:00:00,1,f313f63d,301aa64b,False,131.0,5fb598ab,WCRO,,ENG
35aee72e-856,SCH4,2016-Jun-29 00:00:00,SUR1151,FOR5991,MID6405,PSUR7679,FSUR6731,52604328-963,498b3b3c-04c,a9b1169f-7,F,2024-Jan-08 00:00:00,2025-Jan-14 00:00:00,1,0623b8b9,dd9744f9,False,126.0,09e297f0,WBOS,,ENG
35f53b82-fd3,SCH4,2012-Jul-31 00:00:00,SUR6251,FOR3296,MID9523,PSUR3412,FSUR9581,7498b6c1-b8a,c9821f4a-a59,0d914170-1,M,2024-Nov-20 00:00:00,2025-Mar-16 00:00:00,1,2f14e823,6e9b69e7,False,131.0,9cd3c4f1,WBRI,,ENG
366d8352-f1d,SCH1,2016-Nov-04 00:00:00,SUR3803,FOR7605,MID4984,PSUR9214,FSUR7932,d50e8172-22d,04ebb5d2-21f,7f1799d4-1,F,2020-Dec-28 00:00:00,2025-Mar-04 00:00:00,1,4e8dab1d,d76d98ee,False,,e17350e1,AOTA,N,ENG
38499bb3-d57,SCH2,2010-Jan-27 00:00:00,SUR2219,FOR8884,MID2695,PSUR5441,FSUR7120,0afe71ed-fa9,1e21a12d-6ab,bdc19e46-a,F,2024-Oct-19 00:00:00,2025-Mar-12 00:00:00,1,d19d6945,102576d8,False,129.0,7fb3a3e6,WWEU,,ENG
388a4a49-b6e,SCH3,2019-Jun-16 00:00:00,SUR6264,FOR1829,MID4694,PSUR7443,FSUR5913,96982c4c-797,23a2fe4d-257,9babfd8c-b,M,2022-Sep-10 00:00:00,2025-Jan-21 00:00:00,1,93ffa181,b5ea36fb,True,125.0,767c2b2f,COCH,,GER
388a4a49-b6e,SCH8,2019-Jun-16 00:00:00,SUR6264,FOR1829,MID4694,PSUR7443,FSUR5913,96982c4c-797,23a2fe4d-257,9babfd8c-b,M,2025-Jan-22 00:00:00,2025-Jan-23 00:00:00,2,f8158315,f05070c1,True,120.0,943105d0,AKAO,,
3984bc9b-0ff,SCH7,2012-Nov-13 00:00:00,SUR6790,FOR6999,MID9092,PSUR7726,FSUR4860,40f39a67-602,596e2e8f-85a,4442e395-3,F,2024-Feb-20 00:00:00,2025-Mar-30 00:00:00,1,fab860aa,3aa269b8,False,128.0,29565340,ORAB,6,ENG
39c6f5d1-295,SCH1,2009-Nov-12 00:00:00,SUR9174,FOR6107,MID9722,PSUR1987,FSUR2761,c82aadc3-17e,a3d613e3-a83,678d460c-d,M,2023-Jul-20 00:00:00,2025-Jan-16 00:00:00,1,b127baf2,2967c984,,124.0,fc385af1,WBRI,,ENG
3a654dfd-a82,SCH8,2015-Dec-19 00:00:00,SUR8879,FOR4328,MID7841,PSUR9122,FSUR3361,15a3582b-f3b,15380b04-257,71811a39-b,M,2024-Nov-14 00:00:00,2025-Jan-09 00:00:00,1,a1d1741f,c739d41b,False,130.0,404a7b41,WCRO,,GAL
3a654dfd-a82,SCH4,2015-Dec-19 00:00:00,SUR8879,FOR4328,MID7841,PSUR9122,FSUR3361,15a3582b-f3b,15380b04-257,71811a39-b,M,2025-Jan-10 00:00:00,2025-Jan-16 00:00:00,2,f3f0d215,c6771106,False,129.0,c49e67c5,OAFG,,BEL
