pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,unitcontacttime,termlysessionspossible,senunitindicator,resourcedprovisionindicator,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,extendedhours,eligibilitycode,dafindicator,ethnicity,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,eyppr,eyppbf,youngcarer
006db8dd-913,SCH5,2008-Mar-30 00:00:00,SUR4562,FOR2545,MID2686,PSUR5850,FSUR8207,0881f708-9cb,6f5f9777-e63,a9ed8af9-9,F,2020-Feb-15 00:00:00,1,96ae87b0,68cb507f,771.0,False,False,False,,131.0,False,False,e9d20e22,9.0,620e0650,7b1c72a9,,,False,REFU,Unsought,U,PRST,,S,,C,,11,,,
00737891-2c8,SCH3,2011-May-13 00:00:00,SUR1147,FOR5656,MID5971,PSUR4845,FSUR3715,e75d94fc-b42,79906e99-555,34604938-6,M,2021-Jan-28 00:00:00,1,76673d5c,81fa7ee9,792.0,False,False,False,,133.0,False,False,30ce0c1f,,cdbeeeb0,80397bdf,,,,WROO,"Sought, no reply",,ENG,,,,N,,5,,RB,
007a60d5-079,SCH1,2014-Jan-01 00:00:00,SUR9778,FOR4089,MID8830,PSUR2016,FSUR1512,9ff92229-3be,26315171-b02,d95a2e3c-4,F,2019-Jun-20 00:00:00,1,b48148c8,59a59305,738.0,True,False,False,,129.0,False,False,6e0664b2,,5652a0f0,d4ba70d8,,,False,,,,ENG,,,,R,N,2,,,S
007a7429-53f,SCH1,2018-May-28 00:00:00,SUR9636,FOR2126,MID5028,PSUR3622,FSUR9084,c91fd374-4a5,49eea5a6-c6b,d6157870-4,F,2023-May-28 00:00:00,1,83bb1b2f,3fae2d54,774.0,,False,False,,133.0,False,False,cdbc2bf1,,b1e9a880,e9474a14,,,,MWAO,,,ENG,,,,,P,R,,,
007ce401-b14,SCH1,2008-Dec-29 00:00:00,SUR9774,FOR6850,MID6175,PSUR6959,FSUR8558,f5075b65-b9f,5c87f286-c7f,c9cadd46-e,F,2022-Oct-30 00:00:00,1,e79e1ac4,a8d3890b,760.0,True,False,False,,125.0,False,,9d9e7581,5.0,b2b8f38f,9e2c4df5,,,,OTHA,Unsought,N,ENG,,O,,G,,11,,,
0080a909-ddc,SCH2,2008-Mar-30 00:00:00,SUR9534,FOR3968,MID2671,PSUR5343,FSUR6017,b0d0891c-fb6,2214e3ca-c23,c6df3d8a-4,F,2019-May-18 00:00:00,1,512a92d4,0700936c,,False,False,True,,126.0,False,False,16e6af35,,5f40753c,3521af43,,,,MBOE,,,ENG,,,,C,,1,,,
00861282-259,SCH6,2010-Dec-08 00:00:00,SUR5357,FOR5165,MID4641,PSUR4270,FSUR7409,81bd6ef2-dbf,fa795f94-147,875887b6-c,F,2020-Apr-28 00:00:00,1,8d6938fb,7bca99fb,782.0,True,False,False,,129.0,,False,43d18d92,,43dfdcaa,ea4e32ac,,,,WPOR,Yes,,ENG,,M,,,S,E1,,,
008e6441-aa0,SCH8,2012-Apr-27 00:00:00,SUR9354,FOR8704,MID3807,PSUR8660,FSUR5096,50e9098a-fed,809f66a9-65b,c081484b-1,F,2024-Aug-15 00:00:00,1,32c3678d,ff3da8a8,785.0,False,False,True,,134.0,False,False,068846e0,,d6a05608,f0c8ea92,11.0,,,WIRI,,,ENG,,,,N,,14,No,,
0096e98c-b69,SCH5,2014-Sep-17 00:00:00,SUR1682,FOR2831,MID5809,PSUR2410,FSUR3954,5d6d6153-a38,4ad51444-3da,b51c195d-f,M,2022-Nov-10 00:00:00,1,17699100,422edc91,802.0,True,,False,11.0,133.0,True,False,032df2a0,,16a95f48,b02a0716,,,,WSER,Yes,R,,,C,,R,P,2,,,
00a2895e-7c0,SCH5,2018-Sep-01 00:00:00,SUR6500,FOR7086,MID3648,PSUR3716,FSUR3438,35dc23aa-d6c,6bcf8e0d-c34,dd87f52c-b,M,2020-Aug-21 00:00:00,1,87784ce6,af9c8fcb,792.0,,False,False,,128.0,False,False,62eee82f,,e1376391,29ad16ac,,,,BEUR,Unsought,,,O,,,R,,9,No,,
00b47c69-f0d,SCH1,2014-May-17 00:00:00,SUR8013,FOR6205,MID7503,PSUR7206,FSUR2790,1859775d-295,27e210c1-ee0,d94c39b0-1,M,2023-Sep-02 00:00:00,1,7c40ebc2,4a70df01,781.0,True,,False,,133.0,True,True,64b7adb7,,9696d7e5,5afa2263,,,,AOPK,,,ENG,,F,N,A,N,3,,RU,
00c46b1f-986,SCH7,2017-Sep-20 00:00:00,SUR8999,FOR7193,MID6671,PSUR5614,FSUR2243,817ab353-581,9d69fece-d35,07e43eaa-4,M,2024-Apr-05 00:00:00,1,93fc92fd,4949a900,800.0,True,False,False,,127.0,False,,8a0c065a,,d7668ab1,af89ac1a,,,,MBCH,,,ENG,,O,,R,,12,,,
00c57c03-6d2,SCH3,2007-Dec-12 00:00:00,SUR4424,FOR3026,MID6722,PSUR6028,FSUR8027,44542c20-ac1,d8d852ec-1be,9c2654f7-8,F,2022-Jun-23 00:00:00,1,fd03cfee,a64955b2,834.0,False,True,False,,132.0,False,False,526fc519,,438e0062,8b80db1c,,,,ABAN,,,ENG,,F,,,K,N2,,RE,
00d48d88-6ca,SCH3,2007-Oct-01 00:00:00,SUR8562,FOR1714,MID2293,PSUR1568,FSUR8990,ba229652-420,90fae5f7-28c,f70c547e-c,M,2022-May-25 00:00:00,1,58a9c51d,589306d1,796.0,True,False,False,,129.0,True,False,9d0879fa,,401195f3,38846181,,,,WBRI,No,,GER,,,,G,,E2,Yes,,
00d575a7-dc8,SCH7,2018-Sep-23 00:00:00,SUR9457,FOR7698,MID7620,PSUR4418,FSUR8085,ad5a2b9b-e29,763288df-5ad,1a2a419c-9,M,2022-Sep-06 00:00:00,1,11c20ce5,af16b952,794.0,True,,False,,135.0,True,False,b0cad2a3,,df9cd274,d24f81c3,,,False,MBOE,,,ENG,O,F,,,,8,,,
00da3cc7-b28,SCH1,2020-Aug-19 00:00:00,SUR8525,FOR9879,MID9347,PSUR8509,FSUR3456,4834f81b-e79,34adf7b7-761,1c9c8092-5,M,2024-Jan-13 00:00:00,1,07aedf22,6f3730d1,779.0,True,False,False,,130.0,False,False,3ddaa685,,47763946,b23e0007,,11.0,,MOTH,,,GAL,,F,,C,E,M,,,S
00e2f966-e88,SCH7,2018-Jan-27 00:00:00,SUR6072,FOR2311,MID9701,PSUR3249,FSUR7459,8b345184-627,567e5cd5-ea5,bcca6b28-1,M,2021-Jul-27 00:00:00,1,11236585,697594d3,820.0,False,True,False,,132.0,False,False,d80d3db6,7.0,0894e6ca,d137e22a,,,,OFIL,,,GAL,,C,,,,10,,,
00e3e3c1-738,SCH3,2011-Oct-11 00:00:00,SUR6785,FOR6549,MID2741,PSUR8265,FSUR8015,162483ca-e9f,0f645d1c-eb6,4616824d-b,F,2024-Feb-21 00:00:00,1,3ad200dd,8c5c3863,814.0,True,False,False,,125.0,False,False,399ec20f,,9ac46b78,3be84c6f,,,,WBRI,,R,PNJA,,,,C,N,2,,,
00e70ba4-b03,SCH3,2011-Jul-11 00:00:00,SUR1392,FOR7583,MID2807,PSUR4199,FSUR6427,9b82a3e4-c29,f31e25c5-1ce,f929af6e-2,F,2025-Mar-19 00:00:00,1,7c59ac96,0c7983d2,777.0,,True,True,,125.0,False,False,8b283622,,846f0596,4a02b710,,,,MWAI,,U,,,,,A,,12,,,
00e9397d-27e,SCH2,2020-Apr-19 00:00:00,SUR3858,FOR3634,MID5723,PSUR5592,FSUR2551,cbd0f54b-6c4,398dea22-6ed,596dae32-0,F,2025-Mar-04 00:00:00,1,32444148,6cc71001,776.0,True,False,True,,128.0,False,False,185195ae,,a84e4cbf,7ad3a67b,,7.0,,OKOR,,,CHI,,F,,,K,N2,,,
00ecef55-ae2,SCH1,2009-Feb-27 00:00:00,SUR8216,FOR6230,MID4141,PSUR4125,FSUR6811,60944362-008,c9665d3c-ce4,04c61f0e-4,F,2024-Jul-23 00:00:00,1,83a2ab58,acb1e9cf,775.0,True,False,False,,138.0,False,,38b1e053,,e35acbe5,3ee0431f,,,False,OOTH,"Sought, no reply",,ENG,,,,,S,R,,,
00f6b660-59e,SCH2,2012-Apr-11 00:00:00,SUR2286,FOR8968,MID9036,PSUR8840,FSUR9387,292f72d9-efa,5c31aedb-7de,9641db40-c,F,2021-Oct-25 00:00:00,1,d2773da4,3c726944,780.0,False,False,False,,127.0,False,False,00d5599f,,3db9a1cb,d771e184,,,,WTUC,,,ENG,,,N,C,,8,No,,
01080e0c-45b,SCH6,2012-Jan-21 00:00:00,SUR9125,FOR8776,MID6388,PSUR6605,FSUR9602,5ff4489b-998,a3cb1dfc-942,7c93a96f-2,F,2024-Dec-04 00:00:00,1,1f420180,574195cc,767.0,True,False,True,,136.0,False,False,5b36363e,,c435fb56,b72cfa0a,,,,BOTB,,N,RUS,,,,,,R,,,
010aa4cb-931,SCH2,2016-Mar-16 00:00:00,SUR6470,FOR2616,MID2654,PSUR2002,FSUR6800,be7e106f-d2e,7a7d955f-9aa,72c0e99f-e,M,2023-Apr-27 00:00:00,1,9586e190,753de0e1,814.0,True,False,False,,127.0,True,False,3b4ec7a9,,22ffe1f3,f5e30bc0,,,,ANEP,,,,,F,,,K,13,No,RO,
010d4a31-384,SCH1,2012-Dec-01 00:00:00,SUR2596,FOR3368,MID6988,PSUR9590,FSUR2872,565a5962-dd0,382520d8-b45,3112f694-6,M,2021-Mar-12 00:00:00,1,96d7b311,15c2a0bc,795.0,False,False,False,,129.0,False,False,81527bd8,,f445502d,d03d8c69,,,,APKN,No,,ENG,,,,R,,9,,,
011c54a5-f16,SCH4,2017-Jan-21 00:00:00,SUR3007,FOR4444,MID8694,PSUR9739,FSUR6449,2bca8aa2-acd,0dc5a22c-83d,3df7311e-e,F,2023-May-05 00:00:00,1,dc17bdc3,1d68d01d,814.0,True,True,False,,137.0,False,False,b9fee458,,33a2859b,e2799a39,,,,MAOE,,,,,,,,,7,No,,
012d9587-01b,SCH2,2013-Jan-24 00:00:00,SUR7009,FOR1334,MID3318,PSUR5777,FSUR8461,23760ab3-3d3,a4276d52-c19,f9e79b3b-0,M,2022-Jun-06 00:00:00,1,da0f8ce5,500d3f9b,810.0,True,False,False,,135.0,False,False,fd2b8796,,0add7747,8d269ac7,,,,WWEL,,,ENG,,,,,E,8,,,P
0134a3c5-4bc,SCH5,2011-Apr-17 00:00:00,SUR9677,FOR5026,MID7251,PSUR9104,FSUR1907,d584af05-179,6a791ac8-6fe,aca9f715-9,M,2025-Apr-03 00:00:00,1,8aef8a1b,25452f0a,737.0,False,False,True,,130.0,False,True,47f8a045,,e90cb16b,565eaded,,,True,WGRK,,N,ENG,,O,,,P,11,,,
01359d1e-dc2,SCH1,2012-Jan-30 00:00:00,SUR7426,FOR2187,MID6828,PSUR6061,FSUR1362,d583cd18-518,e91b5748-1f6,0c11c1e5-8,F,2024-Apr-17 00:00:00,1,f9d2a6e4,76230b06,778.0,False,True,False,,130.0,False,False,fa155b10,,d0c19f7b,60c53409,,,,OYEM,,,BNG,,M,,G,,10,,,
013dbd2f-629,SCH6,2008-Jun-18 00:00:00,SUR1637,FOR9498,MID6138,PSUR7554,FSUR5538,60b7a50c-986,41844dcb-e1b,ab03ca61-2,M,2025-Feb-28 00:00:00,1,1dadd8d9,3fa7bdc7,758.0,True,False,True,,134.0,False,False,63e2e25b,,5c72d5ca,748025ca,,,,WBOS,,,,,C,B,R,E,R,,RB,
013e6c4a-b75,SCH6,2010-Aug-10 00:00:00,SUR9796,FOR2608,MID1753,PSUR7636,FSUR6981,6db999b2-fae,9a039fda-4b1,ffa015a5-3,M,2019-Apr-11 00:00:00,1,faa798e1,4ccbda70,805.0,False,False,False,15.0,126.0,True,True,1064d416,8.0,bf5af0ce,5df6340e,,,,WOTW,,Y,ENG,,,,,,4,,,
01488c87-02d,SCH2,2019-Jun-08 00:00:00,SUR1259,FOR8441,MID7254,PSUR7196,FSUR4824,c430a210-8ba,9094c961-185,bdb72135-9,F,2024-Apr-15 00:00:00,1,07c9ecdc,5838de0b,742.0,True,False,,,131.0,False,False,daa993e4,,bf76a56f,8364fedd,,,True,WENG,No,Y,,,S,,,S,M,,,
0154b5e1-bf5,SCH2,2012-Sep-10 00:00:00,SUR5207,FOR9595,MID4072,PSUR7250,FSUR3924,688f4806-861,ad84cc74-532,b3245f4b-5,F,2018-Dec-13 00:00:00,1,8f390bb1,241060ef,754.0,True,False,False,,130.0,True,False,440ab9ea,,03661d42,7028bc78,13.0,,,MBOE,Yes,,ENG,,,,,,2,,,
01564caa-913,SCH6,2014-Apr-23 00:00:00,SUR4530,FOR6270,MID9897,PSUR4202,FSUR5096,f12d68e2-d8c,2ff98c6a-dac,7ff95b87-3,F,2020-Jun-18 00:00:00,1,4810b282,88452b4d,779.0,True,False,False,,130.0,False,False,6c766b12,,0e87ceda,c6240dfd,,,,OMAL,"Sought, no reply",,CYM,,F,,,,M,No,,
015a50c2-e95,SCH3,2007-Oct-05 00:00:00,SUR6730,FOR8456,MID5767,PSUR9128,FSUR6752,07a48c66-887,2c79bbc5-5aa,79a04124-6,F,2025-Jan-20 00:00:00,1,10fa2749,9a5cac15,752.0,True,True,False,,128.0,,,c9b57779,,1d7bfd25,4952e7f7,,,,BCRB,Yes,,GER,,,,R,,1,,RE,
015e1d34-e1e,SCH6,2019-Mar-23 00:00:00,SUR9814,FOR8153,MID1556,PSUR5788,FSUR8575,1ee79213-f92,62edd98d-faa,24f741e8-b,F,2023-Mar-12 00:00:00,1,eea4b8ec,77edf0a3,763.0,,True,False,,126.0,False,False,ee17044f,,1bfc551e,9acb6d55,,,,OARA,,,,,C,,C,,4,,,
015e2ada-f29,SCH8,2019-Apr-28 00:00:00,SUR3121,FOR3995,MID8967,PSUR4144,FSUR6241,ddc3e8c6-8ad,2f57ffad-193,f982a83a-0,M,2021-Apr-28 00:00:00,1,c2775ccd,e1031301,784.0,True,False,False,18.0,125.0,,False,fc537482,5.0,6dbc82e1,fdeb389c,,,False,BSOM,No,Y,ENG,,S,,A,,10,,,
0162b45c-a58,SCH7,2010-Sep-10 00:00:00,SUR9585,FOR7125,MID1358,PSUR7943,FSUR5521,1805555a-42f,4cb3c46b-318,091c6ec3-8,M,2023-Feb-06 00:00:00,1,af2a696e,2ac2ff2d,827.0,True,False,True,17.0,128.0,False,False,e0142222,,079bcd47,02548485,,,,BOTB,"Sought, no reply",N,CYM,,C,,,K,11,,,
016343eb-e88,SCH7,2018-Feb-20 00:00:00,SUR7147,FOR4304,MID2566,PSUR9314,FSUR6974,d2e80d2f-6ce,7b4df32f-bb4,f2f23045-c,M,2022-Jun-24 00:00:00,1,8e1b20a8,b55220d2,770.0,True,False,False,19.0,131.0,False,,772d308f,,ebf7ceed,51fa585b,7.0,,,ABAN,,,ENG,,O,,N,,4,,,
01645986-534,SCH8,2020-Apr-25 00:00:00,SUR6281,FOR9093,MID7331,PSUR7949,FSUR1523,7c1e2f1e-923,ec767606-960,59bb993e-c,F,2022-Jan-23 00:00:00,1,c30435b5,c26b24a6,779.0,False,False,False,15.0,134.0,,True,c472fb79,,9ff12903,02463415,,,,BNGN,,,ENG,,M,,A,,2,,,
016a3e1b-2a5,SCH7,2015-Sep-23 00:00:00,SUR9487,FOR4357,MID3689,PSUR2691,FSUR5678,66efc2b6-6ab,832d6a71-35b,6856142d-a,F,2024-Apr-21 00:00:00,1,9127a5db,54b02ae9,751.0,True,False,False,,132.0,True,False,24cfd1b6,,ef3c8d8e,f0abb75c,,,,MAOE,Yes,,RUS,,S,,,A,5,,,
016e97a4-301,SCH8,2012-Sep-26 00:00:00,SUR7078,FOR8769,MID5676,PSUR3490,FSUR9523,da7f4278-df5,391448e6-8a1,9eb31cb2-c,F,2021-May-15 00:00:00,1,1495c510,259f11fe,793.0,,False,False,,135.0,False,False,2d22dbbb,,294011cf,cb90f835,,,,WBOS,,,ENG,N,,,N,,E1,,,
017aa6c2-fe1,SCH6,2010-Mar-13 00:00:00,SUR6125,FOR6148,MID4767,PSUR8508,FSUR2176,b374c66f-999,ea810420-f66,84f5986a-6,F,2022-Apr-14 00:00:00,1,aedf3e55,e8df1c1b,738.0,True,False,False,,124.0,,,6b3b03f8,,020ad6e5,8f6daacb,,,,BOTH,Yes,,,O,O,,N,K,10,,RB,
017fffe4-75c,SCH8,2017-Jul-15 00:00:00,SUR5878,FOR6025,MID2430,PSUR1473,FSUR8796,067b6133-29d,0f850c72-1ed,4031589b-f,M,2022-May-03 00:00:00,1,235a6981,8703d937,764.0,True,False,False,9.0,136.0,False,False,ab8d25d8,,34ceb6aa,71505fe4,,,,WPOR,,N,UKR,,,,R,,10,,,P
0183bc4b-6ce,SCH2,2019-Oct-26 00:00:00,SUR2151,FOR9240,MID7915,PSUR3239,FSUR2597,26d241f9-fdb,136cbaa6-be4,f960b959-c,F,2019-Jul-08 00:00:00,1,5d7ec590,61589281,795.0,False,False,False,,134.0,True,False,86e31fdb,,aed62708,20fc9adf,,,False,OIRQ,,U,ENG,,C,,,,3,No,,
0185afe5-85c,SCH2,2008-May-09 00:00:00,SUR3733,FOR4761,MID1367,PSUR5600,FSUR9915,1dc7e11b-698,6cefc0c7-6d6,999f40ac-a,M,2020-Oct-05 00:00:00,1,f203a907,5a9836f2,782.0,True,True,,,136.0,True,False,1470d9d6,8.0,aa256417,350ef428,,,False,AOTH,,R,ENG,,F,,,K,E1,No,,
01861a4b-993,SCH1,2012-Jun-09 00:00:00,SUR4404,FOR4429,MID2158,PSUR8938,FSUR6112,51631215-ef6,8ab862a3-787,178c218a-3,M,2023-May-28 00:00:00,1,cda5c33d,26b7dd7b,742.0,True,False,False,,135.0,,,bdef78b1,,dd151c0c,5c01c721,,,,AOPK,,,ENG,,,,,P,4,,,
0188f245-602,SCH8,2018-Jun-20 00:00:00,SUR9041,FOR6186,MID6010,PSUR3251,FSUR4424,ccf07281-2ed,05416fac-93e,3610dca0-9,M,2022-Apr-11 00:00:00,1,a2329ed9,a66d12b5,738.0,True,False,True,19.0,119.0,False,False,2abbf03b,,1b97308f,2db394f9,,,,,,N,ENG,,O,,N,E,12,,,S
019cfc62-962,SCH6,2009-Jun-30 00:00:00,SUR4620,FOR8191,MID7078,PSUR6841,FSUR9201,ae1fe244-58c,df34da76-c66,004d06f7-f,M,2021-Oct-25 00:00:00,1,72ea9975,7aa11ab9,817.0,True,False,True,,137.0,True,False,429ae317,13.0,194d1527,30c1ba91,,,,MWAO,,U,CYM,O,,,,P,11,No,,
019df92f-194,SCH7,2020-Jul-13 00:00:00,SUR2835,FOR6251,MID5821,PSUR8218,FSUR8168,2d7cb936-ba2,c5e29a73-642,f5d52a82-7,F,2022-Jan-28 00:00:00,1,c47b9fc0,c1dc9dc8,740.0,True,False,,9.0,126.0,False,False,c336b365,,54d16a60,763b6e99,,,,MACH,Unsought,Y,ENG,,,,A,N,6,Yes,RE,
01a0b4d1-79b,SCH8,2017-Aug-20 00:00:00,SUR6708,FOR4092,MID7602,PSUR2822,FSUR1257,5a800afe-400,8a669960-bd1,20416368-c,F,2019-Oct-05 00:00:00,1,0f00f121,44a5a137,764.0,True,,False,,130.0,False,,751b76fe,,28c00152,8c4dafb9,,,True,BSOM,,,ENG,,C,,,N,,,,
01aa8772-70d,SCH2,2007-Sep-28 00:00:00,SUR2712,FOR7244,MID3126,PSUR8302,FSUR9978,1f02d399-0e3,5e326d09-cb1,8f4d9ac2-e,M,2022-May-07 00:00:00,1,7d6be345,70d36249,773.0,True,,False,,131.0,False,False,6c3313a6,,45a930cf,03a44c40,,11.0,,WGRC,"Sought, no reply",,ENG,,,,,P,2,,,
01ab75f8-504,SCH1,2018-Jul-04 00:00:00,SUR5936,FOR5251,MID9131,PSUR5451,FSUR1124,ff2f7511-ef9,5195a0aa-ac9,51e43981-9,M,2023-Oct-06 00:00:00,1,64b0a4d4,54c9b68b,721.0,True,False,False,,132.0,False,False,a4ef569e,,34f763b0,58dfac90,5.0,,False,CSNG,,,ENG,,,N,,,6,,,
01af0693-90a,SCH7,2010-Jan-28 00:00:00,SUR4341,FOR3199,MID5994,PSUR1693,FSUR9387,19f6ce7c-42e,ad6e521b-527,fb91a666-9,M,2024-Jul-29 00:00:00,1,db91b8ac,4c466c80,798.0,True,True,True,,127.0,False,True,3fc42c2a,,3478acb5,9af89670,8.0,,,WSER,No,,CYM,,F,N,,K,8,,,
01b4b057-87a,SCH5,2019-Jan-12 00:00:00,SUR6414,FOR9627,MID8283,PSUR7745,FSUR3463,a3f97ac3-b30,ba32b8f6-2ed,d337f620-3,M,2023-Dec-15 00:00:00,1,1d308936,bfb4e57d,749.0,False,False,False,,124.0,False,,34350ddd,7.0,4e17f642,17dd62fa,,,,MBCH,,N,CYM,,,,,K,7,,RB,
01cc47ac-658,SCH1,2017-Dec-02 00:00:00,SUR6420,FOR2854,MID6092,PSUR8747,FSUR5297,a83e5a6a-356,03ab3084-dd8,a39b067f-9,M,2023-Oct-06 00:00:00,1,a5364a78,a5fd8bf1,775.0,True,,True,,132.0,False,False,af23f7a2,,133cdd3e,aa9ad320,,,,AOTA,Yes,R,ENG,,F,,,A,E1,No,,
01da4f0d-44e,SCH3,2010-Sep-02 00:00:00,SUR4215,FOR7683,MID4062,PSUR8227,FSUR4386,e1f41722-16e,aad1eba1-dde,0b6d4b4c-7,F,2018-Dec-02 00:00:00,1,947a7dd8,261efbe7,766.0,True,False,False,,124.0,False,False,747f8ef7,,7b83702b,b221603e,,,,AOTA,,,ENG,,O,,A,E,R,,,
01dfc5f8-834,SCH4,2019-Jul-03 00:00:00,SUR4855,FOR9474,MID6248,PSUR4029,FSUR6469,feaf306f-955,c57c7ce8-2da,f3f16822-f,M,2024-Dec-08 00:00:00,1,d2ed446a,8f2b9582,810.0,True,False,True,,119.0,,True,c4d5fcd5,9.0,648f9d6f,f0fdc712,,8.0,False,CHNE,,Y,ENG,,,N,N,,R,,RB,
01ebda30-5a0,SCH2,2015-Jan-12 00:00:00,SUR2874,FOR6671,MID6216,PSUR7275,FSUR6763,bb1771e5-300,234aceb4-af3,56ba67b2-0,M,2024-Aug-10 00:00:00,1,1e743341,872aa1e5,792.0,True,False,False,,137.0,,False,9fd62787,,3e6c793c,57fa4024,,,,WBOS,,N,ENG,,,,,K,N1,,,
01ed06bc-72e,SCH3,2018-Jun-13 00:00:00,SUR4234,FOR9310,MID4390,PSUR1880,FSUR2860,c2a5ba41-552,c3b3a417-998,ef7f36d1-c,M,2024-Dec-20 00:00:00,1,0e7b16d0,24a32abd,747.0,True,False,False,,133.0,False,False,e2694ce6,,2715dfae,3a5cf80c,,,,WROO,,,ENG,,F,,R,,3,,,
0200b7ed-ca9,SCH1,2015-Sep-03 00:00:00,SUR3880,FOR9795,MID7882,PSUR5048,FSUR9731,0e772549-6f6,13924a3d-1af,8450154b-e,F,2024-Mar-06 00:00:00,1,35b2e320,71f12e26,808.0,,False,False,,139.0,False,False,5310dee1,,93ed351b,a167698b,9.0,,,OYEM,,,GER,,,,,,4,,,
