pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,senunitindicator,resourcedprovisionindicator,nonqualhrs,ftemp,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,summerhalfterm2sessionspossible,extendedhours,eligibilitycode,summerhalfterm2sessionsauthorised,summerhalfterm2sessionsunauthorised,dafindicator,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear,eyppr,eyppbf
00d575a7-dc8,SCH7,2018-Sep-23 00:00:00,SUR9457,FOR7698,MID7620,PSUR4418,FSUR8085,ad5a2b9b-e29,763288df-5ad,1a2a419c-9,M,2022-Sep-06 00:00:00,1,ad2bdd55,68ef4163,793.0,True,True,False,139.0,9.0,,False,False,120.0,False,746.0,751.0,135.0,800.0,136.0,4a5bb7d8,,f1dc3529,2d203bba,123.0,,,,,,,,3.0,,,GER,,C,,R,,9,,,,,,,,A*,Yes,
00da3cc7-b28,SCH1,2020-Aug-19 00:00:00,SUR8525,FOR9879,MID9347,PSUR8509,FSUR3456,4834f81b-e79,34adf7b7-761,1c9c8092-5,M,2024-Jan-13 00:00:00,1,c31558f8,c44db101,771.0,True,False,False,134.0,8.0,,False,True,132.0,False,735.0,745.0,132.0,844.0,136.0,69793850,,f8a86cf2,3de88e8d,132.0,,,,,,,,,,,ENG,,S,,N,,1,9,3,,,,,,,,RO
00e2f966-e88,SCH7,2018-Jan-27 00:00:00,SUR6072,FOR2311,MID9701,PSUR3249,FSUR7459,8b345184-627,567e5cd5-ea5,bcca6b28-1,M,2021-Jul-27 00:00:00,1,d0b78ac7,5a3957a2,704.0,True,False,False,123.0,8.0,,False,,136.0,False,790.0,848.0,130.0,808.0,129.0,f48a57ed,,dd1b6705,41edecd0,131.0,,,8.0,3.0,,3.0,,3.0,,,CHI,O,F,,,E,N2,,,B,,,,A*,,,
00e3e3c1-738,SCH3,2011-Oct-11 00:00:00,SUR6785,FOR6549,MID2741,PSUR8265,FSUR8015,162483ca-e9f,0f645d1c-eb6,4616824d-b,F,2024-Feb-21 00:00:00,1,67b352ef,1ed48e5c,758.0,False,False,False,125.0,9.0,,False,False,134.0,False,818.0,764.0,126.0,741.0,127.0,58d4d2eb,8.0,ae1dc832,2ded6c19,133.0,,,7.0,2.0,False,,3.0,,Yes,,ENG,,,,,K,E2,9,2,,1,N,,,,,
00e9397d-27e,SCH7,2020-Apr-19 00:00:00,SUR3858,FOR3634,MID5723,PSUR5592,FSUR2551,cbd0f54b-6c4,398dea22-6ed,596dae32-0,F,2021-Sep-14 00:00:00,1,9722c3d1,0a2b8ee2,845.0,True,False,False,127.0,9.0,2.0,False,True,134.0,False,821.0,782.0,134.0,777.0,126.0,564dbc58,9.0,efec541d,4e912a12,130.0,,,8.0,,,,,,,,PNJA,,,,G,,M,C,,,,,O,,,No,
00ecef55-ae2,SCH1,2009-Feb-27 00:00:00,SUR8216,FOR6230,MID4141,PSUR4125,FSUR6811,60944362-008,c9665d3c-ce4,04c61f0e-4,F,2024-Jul-23 00:00:00,1,ce202db3,25ff4aca,,,False,,125.0,8.0,3.0,False,False,132.0,False,804.0,747.0,124.0,745.0,131.0,6d3abf0b,,39bcb31a,8cbfe15c,135.0,,,8.0,3.0,,,,4.0,,,ENG,,,,R,,R,,,,,,,,,,
00f6b660-59e,SCH2,2012-Apr-11 00:00:00,SUR2286,FOR8968,MID9036,PSUR8840,FSUR9387,292f72d9-efa,5c31aedb-7de,9641db40-c,F,2021-Oct-25 00:00:00,1,66c86255,ae3048e4,809.0,,False,,137.0,8.0,,False,False,134.0,False,779.0,757.0,130.0,798.0,129.0,2a64a51c,,9b5fe2c1,72ebea77,125.0,,,,,,3.0,,,,,ENG,,F,,C,,N2,,,,1,,,,NR,,
01080e0c-45b,SCH6,2012-Jan-21 00:00:00,SUR9125,FOR8776,MID6388,PSUR6605,FSUR9602,5ff4489b-998,a3cb1dfc-942,7c93a96f-2,F,2024-Dec-04 00:00:00,1,cc8a5bd5,38b2f026,762.0,True,True,False,123.0,9.0,,True,False,131.0,False,813.0,839.0,126.0,824.0,135.0,3cbf528d,,67230e07,0609521e,124.0,,,8.0,,,3.0,,,,,ENG,,S,,,K,14,,,,,U,O,B,,,
010aa4cb-931,SCH2,2016-Mar-16 00:00:00,SUR6470,FOR2616,MID2654,PSUR2002,FSUR6800,be7e106f-d2e,7a7d955f-9aa,72c0e99f-e,M,2023-Apr-27 00:00:00,1,e1b37b5e,36ab1152,807.0,True,False,,125.0,8.0,,False,False,124.0,False,742.0,814.0,134.0,753.0,134.0,9b438834,,4fd21fdb,01340d70,136.0,,,8.0,2.0,,,3.0,,,,ENG,,M,,N,,8,,,9,,,,,,,
010d4a31-384,SCH1,2012-Dec-01 00:00:00,SUR2596,FOR3368,MID6988,PSUR9590,FSUR2872,565a5962-dd0,382520d8-b45,3112f694-6,M,2021-Mar-12 00:00:00,1,432b281b,d870c559,776.0,,False,False,134.0,8.0,,False,False,120.0,False,801.0,788.0,132.0,843.0,135.0,a05249b2,,a1737493,99174cbb,127.0,,,8.0,,False,2.0,,3.0,,Y,ENG,,,,R,,11,,1,,,,,,,,
011c54a5-f16,SCH4,2017-Jan-21 00:00:00,SUR3007,FOR4444,MID8694,PSUR9739,FSUR6449,2bca8aa2-acd,0dc5a22c-83d,3df7311e-e,F,2023-May-05 00:00:00,1,9053b7c7,8018e598,757.0,True,False,False,131.0,9.0,,False,True,130.0,False,745.0,776.0,133.0,753.0,120.0,43f8f504,,56653c2e,487bf2fd,144.0,11.0,,8.0,,,,,3.0,No,,,,,,R,,E2,,,,,,,,9,No,
012d9587-01b,SCH2,2013-Jan-24 00:00:00,SUR7009,FOR1334,MID3318,PSUR5777,FSUR8461,23760ab3-3d3,a4276d52-c19,f9e79b3b-0,M,2022-Jun-06 00:00:00,1,d619a422,19b2ff0c,833.0,True,False,True,133.0,,,False,False,120.0,False,743.0,777.0,126.0,800.0,127.0,43d19076,,9b0221af,46c6ab5a,124.0,,,,,False,,,4.0,No,Y,ENG,,,,R,K,12,,2,,2,,L,8,,,
0134a3c5-4bc,SCH2,2011-Apr-17 00:00:00,SUR9677,FOR5026,MID7251,PSUR9104,FSUR1907,d584af05-179,6a791ac8-6fe,aca9f715-9,M,2021-Aug-30 00:00:00,1,196c0fa4,ec553535,779.0,True,True,False,142.0,7.0,,False,False,129.0,,854.0,725.0,134.0,775.0,130.0,64d10e23,4.0,ce98c653,e81ecd4b,130.0,,,8.0,,,,,,,,ENG,,,N,,E,9,,,,,,,,,,RB
01359d1e-dc2,SCH1,2012-Jan-30 00:00:00,SUR7426,FOR2187,MID6828,PSUR6061,FSUR1362,d583cd18-518,e91b5748-1f6,0c11c1e5-8,F,2024-Apr-17 00:00:00,1,34747343,03a67c36,785.0,,False,False,128.0,8.0,,False,False,126.0,False,761.0,742.0,130.0,743.0,134.0,e007a192,,5bc9f40a,25a88520,131.0,,,9.0,,False,2.0,,3.0,,,ENG,,S,,R,K,7,,1,,,,,,,,
013e6c4a-b75,SCH6,2010-Aug-10 00:00:00,SUR9796,FOR2608,MID1753,PSUR7636,FSUR6981,6db999b2-fae,9a039fda-4b1,ffa015a5-3,M,2019-Apr-11 00:00:00,1,b7922a9b,a28f7cb1,759.0,False,True,False,128.0,7.0,,False,False,132.0,False,800.0,816.0,130.0,817.0,137.0,2511b290,,facaab27,eb8142d8,131.0,,,8.0,,,,,,,R,PNJA,,M,,,,2,,,,,,F,,,,
01488c87-02d,SCH2,2019-Jun-08 00:00:00,SUR1259,FOR8441,MID7254,PSUR7196,FSUR4824,c430a210-8ba,9094c961-185,bdb72135-9,F,2024-Apr-15 00:00:00,1,dc3ea7d4,5d576b44,771.0,True,False,False,131.0,8.0,4.0,False,False,128.0,False,784.0,760.0,132.0,771.0,140.0,8d65d8d0,,cf6dd2a7,e6e1757c,127.0,,,9.0,,False,,,,,,ENG,,C,,A,,,,1,4,,U,,,,,
0154b5e1-bf5,SCH2,2012-Sep-10 00:00:00,SUR5207,FOR9595,MID4072,PSUR7250,FSUR3924,688f4806-861,ad84cc74-532,b3245f4b-5,F,2018-Dec-13 00:00:00,1,e35bcae1,6b93b9fc,755.0,True,False,False,127.0,8.0,,,False,131.0,False,767.0,783.0,138.0,734.0,131.0,4c6660a6,,a670b6a4,463bb433,124.0,9.0,,9.0,3.0,False,3.0,,,Yes,,ENG,,S,,,N,8,,,,,,,,,No,
01564caa-913,SCH6,2014-Apr-23 00:00:00,SUR4530,FOR6270,MID9897,PSUR4202,FSUR5096,f12d68e2-d8c,2ff98c6a-dac,7ff95b87-3,F,2020-Jun-18 00:00:00,1,97f1937d,b62e4579,768.0,True,,False,140.0,8.0,,False,False,125.0,False,777.0,754.0,117.0,758.0,136.0,9612c3ad,7.0,c11e824a,c0c0c966,124.0,,,8.0,2.0,False,,,,,N,ENG,,F,N,,P,2,,,1,,,,,,,
015a50c2-e95,SCH6,2007-Oct-05 00:00:00,SUR6730,FOR8456,MID5767,PSUR9128,FSUR6752,07a48c66-887,2c79bbc5-5aa,79a04124-6,F,2024-Aug-06 00:00:00,1,d5ca70d3,d2f4b397,771.0,True,False,False,132.0,7.0,,,False,133.0,False,792.0,773.0,129.0,793.0,131.0,acdc998c,,30134220,a1ca8e1a,141.0,,,8.0,,False,,,,,N,GER,N,O,,C,N,6,,,,,,,7,,No,RU
015e1d34-e1e,SCH6,2019-Mar-23 00:00:00,SUR9814,FOR8153,MID1556,PSUR5788,FSUR8575,1ee79213-f92,62edd98d-faa,24f741e8-b,F,2023-Mar-12 00:00:00,1,7b5a40a9,e89ffc91,804.0,False,False,True,135.0,8.0,,False,False,133.0,,790.0,777.0,141.0,762.0,138.0,2e9f39dd,,7dae94df,abdf11b9,127.0,,,9.0,,,,,,Yes,,ENG,,F,,,,E2,,,,,N,,,,,
015e2ada-f29,SCH8,2019-Apr-28 00:00:00,SUR3121,FOR3995,MID8967,PSUR4144,FSUR6241,ddc3e8c6-8ad,2f57ffad-193,f982a83a-0,M,2021-Apr-28 00:00:00,1,d139bec6,1a7481fc,822.0,True,True,,135.0,8.0,,False,False,124.0,False,773.0,811.0,132.0,767.0,132.0,849a7c67,,4179764a,0727f9a5,128.0,,,8.0,,False,,,,,,ENG,,S,,,N,9,,1,,,,,8,,,
0162b45c-a58,SCH7,2010-Sep-10 00:00:00,SUR9585,FOR7125,MID1358,PSUR7943,FSUR5521,1805555a-42f,4cb3c46b-318,091c6ec3-8,M,2023-Feb-06 00:00:00,1,7d21dc34,4e2b5b59,752.0,True,True,False,133.0,7.0,,False,False,131.0,False,753.0,785.0,129.0,827.0,142.0,a91a51f3,,73d191fa,65383b7f,133.0,,,8.0,,,,,,"Sought, no reply",,ENG,,C,,G,,1,8,,,,,,,,,
016343eb-e88,SCH7,2018-Feb-20 00:00:00,SUR7147,FOR4304,MID2566,PSUR9314,FSUR6974,d2e80d2f-6ce,7b4df32f-bb4,f2f23045-c,M,2022-Jun-24 00:00:00,1,d89e4ca1,3d4417e8,874.0,True,True,False,128.0,,,False,False,132.0,False,760.0,764.0,128.0,776.0,127.0,64c15362,9.0,e0d23c62,0c40c210,134.0,,,7.0,,,,,,,R,ENG,,O,,,,2,,,,,,,,6,,
01645986-534,SCH8,2020-Apr-25 00:00:00,SUR6281,FOR9093,MID7331,PSUR7949,FSUR1523,7c1e2f1e-923,ec767606-960,59bb993e-c,F,2022-Jan-23 00:00:00,1,fc4a1459,c71fb817,774.0,True,False,False,137.0,8.0,3.0,False,False,128.0,False,803.0,772.0,138.0,810.0,129.0,38a4b5b8,,7b0b6858,fa589645,125.0,,,8.0,,False,,3.0,,,,,,F,,,,7,,,,,,,,,,
016a3e1b-2a5,SCH7,2015-Sep-23 00:00:00,SUR9487,FOR4357,MID3689,PSUR2691,FSUR5678,66efc2b6-6ab,832d6a71-35b,6856142d-a,F,2024-Apr-21 00:00:00,1,17392571,fdcc891a,816.0,True,False,False,121.0,,,False,False,130.0,False,770.0,764.0,139.0,793.0,135.0,e1d232d9,,6331048b,cb95b4d9,135.0,,,8.0,,False,,3.0,,,,ENG,,F,,,,M,,,,1,,,,E,,RE
016e97a4-301,SCH8,2012-Sep-26 00:00:00,SUR7078,FOR8769,MID5676,PSUR3490,FSUR9523,da7f4278-df5,391448e6-8a1,9eb31cb2-c,F,2021-May-15 00:00:00,1,f84af39a,8137258d,746.0,True,,False,121.0,8.0,3.0,False,True,129.0,,779.0,727.0,129.0,785.0,135.0,166243f4,,63832b5a,4a1cde0e,129.0,,,7.0,3.0,,3.0,,,,,ENG,,O,,,,6,,,E,,,,,,,RO
017aa6c2-fe1,SCH6,2010-Mar-13 00:00:00,SUR6125,FOR6148,MID4767,PSUR8508,FSUR2176,b374c66f-999,ea810420-f66,84f5986a-6,F,2022-Apr-14 00:00:00,1,aab7882d,6872bb21,722.0,True,False,False,135.0,9.0,,False,,131.0,False,719.0,766.0,131.0,824.0,134.0,e1c1274f,,72d52475,196c41cd,128.0,,,8.0,,False,,,,,N,ENG,,S,,,A,N1,,,,1,,,,,No,
017fffe4-75c,SCH8,2017-Jul-15 00:00:00,SUR5878,FOR6025,MID2430,PSUR1473,FSUR8796,067b6133-29d,0f850c72-1ed,4031589b-f,M,2022-May-03 00:00:00,1,d696e2f5,b0355dc4,823.0,True,,False,133.0,8.0,,False,,132.0,False,799.0,769.0,123.0,802.0,126.0,44df9fc9,,b4946912,567b6778,123.0,,,,,,,,,,,ENG,,,,N,E,4,,1,,,,,B,,No,RO
0183bc4b-6ce,SCH2,2019-Oct-26 00:00:00,SUR2151,FOR9240,MID7915,PSUR3239,FSUR2597,26d241f9-fdb,136cbaa6-be4,f960b959-c,F,2019-Jul-08 00:00:00,1,f743039c,09c00866,772.0,False,False,False,140.0,8.0,3.0,False,False,120.0,False,803.0,749.0,137.0,775.0,122.0,3cc81a21,,a43c0755,0ab147b4,135.0,,,8.0,,,,,2.0,,N,ENG,,,,G,,2,,,,,,,6,,No,
0185afe5-85c,SCH2,2008-May-09 00:00:00,SUR3733,FOR4761,MID1367,PSUR5600,FSUR9915,1dc7e11b-698,6cefc0c7-6d6,999f40ac-a,M,2020-Oct-05 00:00:00,1,86e3abe9,a22c4fa8,809.0,True,False,False,142.0,8.0,,False,False,126.0,False,743.0,787.0,130.0,741.0,137.0,21d4228f,,c48e6dd8,7dfef641,127.0,,8.0,8.0,,,4.0,,,No,,ENG,N,F,,C,,11,,,,1,,,,,,
