pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,termlysessionspossible,senunitindicator,resourcedprovisionindicator,moveoffrollflag,fundedhours,missingaddress,extendedhours,eligibilitycode,dafindicator,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,eyppr,eyppbf,expandedhours
00737891-2c8,SCH3,2011-May-13 00:00:00,SUR1147,FOR5656,MID5971,PSUR4845,FSUR3715,e75d94fc-b42,79906e99-555,34604938-6,M,2021-Jan-28 00:00:00,1,26ee1c7e,00770bce,788.0,False,False,True,129.0,False,True,99020f4b,,ff8e673f,,,,,R,ENG,,M,,G,,12,Yes,,
007a60d5-079,SCH1,2014-Jan-01 00:00:00,SUR9778,FOR4089,MID8830,PSUR2016,FSUR1512,9ff92229-3be,26315171-b02,d95a2e3c-4,F,2019-Jun-20 00:00:00,1,fcf9737d,6c331afb,782.0,,False,True,128.0,True,,15182883,,78b14af5,,,True,,U,ENG,,O,,,E,1,,,
007a7429-53f,SCH1,2018-May-28 00:00:00,SUR9636,FOR2126,MID5028,PSUR3622,FSUR9084,c91fd374-4a5,49eea5a6-c6b,d6157870-4,F,2023-May-28 00:00:00,1,c4889d8d,6d8ae572,790.0,True,False,True,129.0,False,,6a204218,,0d4e3eea,,,,,,CYM,O,,N,,K,14,,RE,
007ce401-b14,SCH1,2008-Dec-29 00:00:00,SUR9774,FOR6850,MID6175,PSUR6959,FSUR8558,f5075b65-b9f,5c87f286-c7f,c9cadd46-e,F,2022-Oct-30 00:00:00,1,f0c2278a,efab96df,805.0,True,False,False,132.0,False,False,05b4de00,,7f62f3c1,,,,Unsought,Y,ENG,,O,,,K,M,,,
0080a909-ddc,SCH2,2008-Mar-30 00:00:00,SUR9534,FOR3968,MID2671,PSUR5343,FSUR6017,b0d0891c-fb6,2214e3ca-c23,c6df3d8a-4,F,2019-May-18 00:00:00,1,48d3cdf9,04a4b7b3,810.0,False,,,143.0,False,,1125117b,,737b20a1,,,,,,,,,,,K,X,No,RB,6.0
00861282-259,SCH6,2010-Dec-08 00:00:00,SUR5357,FOR5165,MID4641,PSUR4270,FSUR7409,81bd6ef2-dbf,fa795f94-147,875887b6-c,F,2020-Apr-28 00:00:00,1,8f78b9f9,45b63a05,823.0,,False,False,124.0,False,False,e53a4254,8.0,7e15b9ef,,,,,U,,,,,,,M,,RE,
008e6441-aa0,SCH8,2012-Apr-27 00:00:00,SUR9354,FOR8704,MID3807,PSUR8660,FSUR5096,50e9098a-fed,809f66a9-65b,c081484b-1,F,2024-Aug-15 00:00:00,1,f807d85d,f57534a6,785.0,True,False,False,139.0,False,,443dfa8a,,9e9d7bbb,,,False,,,ENG,,,,,K,E1,,,
0096e98c-b69,SCH5,2014-Sep-17 00:00:00,SUR1682,FOR2831,MID5809,PSUR2410,FSUR3954,5d6d6153-a38,4ad51444-3da,b51c195d-f,M,2022-Nov-10 00:00:00,1,a86a61a9,80e22f78,717.0,False,False,False,130.0,,False,c8252e13,,8c3a6f36,,,,,,ENG,,,,,A,10,,,
00a2895e-7c0,SCH5,2018-Sep-01 00:00:00,SUR6500,FOR7086,MID3648,PSUR3716,FSUR3438,35dc23aa-d6c,6bcf8e0d-c34,dd87f52c-b,M,2020-Aug-21 00:00:00,1,63f67add,913b9ee9,739.0,True,False,False,132.0,True,True,4e0f93ba,,83175c50,,,,,R,ENG,,C,,,,7,,,
00b47c69-f0d,SCH1,2014-May-17 00:00:00,SUR8013,FOR6205,MID7503,PSUR7206,FSUR2790,1859775d-295,27e210c1-ee0,d94c39b0-1,M,2023-Sep-02 00:00:00,1,3fd81d43,f70b69af,746.0,,False,False,124.0,False,False,d914f16b,,874e380f,,,False,,,ENG,,,,,,6,No,RO,
00c46b1f-986,SCH7,2017-Sep-20 00:00:00,SUR8999,FOR7193,MID6671,PSUR5614,FSUR2243,817ab353-581,9d69fece-d35,07e43eaa-4,M,2024-Apr-05 00:00:00,1,ef4d33d5,1dfcc8e6,790.0,True,False,False,127.0,False,False,4df2062e,,8d7937b5,,,,,,ENG,,S,,,,3,Yes,,
00c57c03-6d2,SCH3,2007-Dec-12 00:00:00,SUR4424,FOR3026,MID6722,PSUR6028,FSUR8027,44542c20-ac1,d8d852ec-1be,9c2654f7-8,F,2022-Jun-23 00:00:00,1,6f50637a,3226a8c5,778.0,True,False,False,125.0,False,,c0293541,,7b344a26,,,False,,R,ENG,,F,,R,,1,No,,
00d48d88-6ca,SCH3,2007-Oct-01 00:00:00,SUR8562,FOR1714,MID2293,PSUR1568,FSUR8990,ba229652-420,90fae5f7-28c,f70c547e-c,M,2022-May-25 00:00:00,1,29bc08e9,3c7a8320,815.0,True,False,False,132.0,False,False,fe13ab06,,e025c9aa,,,False,"Sought, no reply",,,,F,,A,,10,No,,
00d575a7-dc8,SCH7,2018-Sep-23 00:00:00,SUR9457,FOR7698,MID7620,PSUR4418,FSUR8085,ad5a2b9b-e29,763288df-5ad,1a2a419c-9,M,2022-Sep-06 00:00:00,1,5516cb63,7979721c,779.0,False,False,False,125.0,,False,bf7fbd7d,,0de6e7fa,,,,,,,,,,C,S,10,,,
00da3cc7-b28,SCH1,2020-Aug-19 00:00:00,SUR8525,FOR9879,MID9347,PSUR8509,FSUR3456,4834f81b-e79,34adf7b7-761,1c9c8092-5,M,2024-Jan-13 00:00:00,1,8bdea253,fa31aa46,827.0,True,False,False,127.0,,False,00956c18,,8b9f4473,,,,,U,GER,,F,6,A,A,M,,,
00e2f966-e88,SCH7,2018-Jan-27 00:00:00,SUR6072,FOR2311,MID9701,PSUR3249,FSUR7459,8b345184-627,567e5cd5-ea5,bcca6b28-1,M,2021-Jul-27 00:00:00,1,caf4d2b3,e7d71dd4,771.0,True,False,False,130.0,False,False,ef6cbca6,,81665f53,,,,,,ENG,,,,A,K,1,,,
00e3e3c1-738,SCH3,2011-Oct-11 00:00:00,SUR6785,FOR6549,MID2741,PSUR8265,FSUR8015,162483ca-e9f,0f645d1c-eb6,4616824d-b,F,2024-Feb-21 00:00:00,1,cae9b309,b5af0f3e,778.0,True,False,,125.0,False,,2ae99912,,33fd7e87,,,,,,ENG,N,,,,P,N2,,RB,
00e70ba4-b03,SCH3,2011-Jul-11 00:00:00,SUR1392,FOR7583,MID2807,PSUR4199,FSUR6427,9b82a3e4-c29,f31e25c5-1ce,f929af6e-2,F,2025-Mar-19 00:00:00,1,cefa2a3e,584cca0f,785.0,True,False,False,120.0,False,False,fb268f81,,170d144f,,,,Unsought,,ENG,,,,A,,6,,,
00e9397d-27e,SCH2,2020-Apr-19 00:00:00,SUR3858,FOR3634,MID5723,PSUR5592,FSUR2551,cbd0f54b-6c4,398dea22-6ed,596dae32-0,F,2025-Mar-04 00:00:00,1,fe83caf6,f987f446,797.0,,False,,128.0,True,False,96a3e6a4,,8f320ffb,,,,,R,,,F,,,E,X,,RE,5.0
00ecef55-ae2,SCH1,2009-Feb-27 00:00:00,SUR8216,FOR6230,MID4141,PSUR4125,FSUR6811,60944362-008,c9665d3c-ce4,04c61f0e-4,F,2024-Jul-23 00:00:00,1,08ea919a,7641a8ee,803.0,True,True,False,143.0,False,False,97005e07,6.0,2cff722d,,,False,,U,ENG,,S,,,,2,Yes,,
00f6b660-59e,SCH2,2012-Apr-11 00:00:00,SUR2286,FOR8968,MID9036,PSUR8840,FSUR9387,292f72d9-efa,5c31aedb-7de,9641db40-c,F,2021-Oct-25 00:00:00,1,bc793f46,40e21c56,688.0,True,False,False,133.0,False,False,935b8aef,,dce0d803,6.0,,,,,ENG,N,,,,,R,,,
01080e0c-45b,SCH6,2012-Jan-21 00:00:00,SUR9125,FOR8776,MID6388,PSUR6605,FSUR9602,5ff4489b-998,a3cb1dfc-942,7c93a96f-2,F,2024-Dec-04 00:00:00,1,71d5c6f2,3eae297b,801.0,True,False,,136.0,False,False,442e7992,,1bcf7fbc,,8.0,False,,,TRI,,,,,,10,,,10.0
010aa4cb-931,SCH2,2016-Mar-16 00:00:00,SUR6470,FOR2616,MID2654,PSUR2002,FSUR6800,be7e106f-d2e,7a7d955f-9aa,72c0e99f-e,M,2023-Apr-27 00:00:00,1,63275b1b,43bdcc4d,780.0,,False,False,134.0,False,False,94496e78,,8ae75b7b,,,False,Yes,,CYM,,F,,,S,M,No,,
010d4a31-384,SCH1,2012-Dec-01 00:00:00,SUR2596,FOR3368,MID6988,PSUR9590,FSUR2872,565a5962-dd0,382520d8-b45,3112f694-6,M,2021-Mar-12 00:00:00,1,5c6143d9,1c90cec2,791.0,True,False,False,130.0,True,False,9fff6ed3,,e952bf74,11.0,,False,,Y,ENG,,,,R,,14,,,
0111df42-53e,SCH5,2019-Apr-16 00:00:00,SUR3512,FOR9176,MID1922,PSUR3634,FSUR2422,48116984-054,812971eb-30a,759e4fca-d,M,2025-Apr-14 00:00:00,1,890f9b21,c865503a,746.0,True,True,False,120.0,,True,01d03c1e,,5b685019,,,,,,ENG,,,,,N,M,Yes,,
011c54a5-f16,SCH4,2017-Jan-21 00:00:00,SUR3007,FOR4444,MID8694,PSUR9739,FSUR6449,2bca8aa2-acd,0dc5a22c-83d,3df7311e-e,F,2023-May-05 00:00:00,1,3e18474b,0429d642,765.0,False,False,False,131.0,False,True,e3c19e7c,,690093bc,6.0,,,,,ENG,,,,N,E,6,No,RB,
012d9587-01b,SCH2,2013-Jan-24 00:00:00,SUR7009,FOR1334,MID3318,PSUR5777,FSUR8461,23760ab3-3d3,a4276d52-c19,f9e79b3b-0,M,2022-Jun-06 00:00:00,1,6295eae5,4a939dc2,781.0,False,False,False,130.0,False,False,916d8dc1,,b419165a,,,,,,ENG,,,,,P,N1,,,
0134a3c5-4bc,SCH5,2011-Apr-17 00:00:00,SUR9677,FOR5026,MID7251,PSUR9104,FSUR1907,d584af05-179,6a791ac8-6fe,aca9f715-9,M,2025-Apr-03 00:00:00,1,17aca69c,2a4a3943,798.0,True,False,False,128.0,False,False,3aa64072,,ee733ab8,,,,No,,ENG,,,,,,E2,,,
01359d1e-dc2,SCH1,2012-Jan-30 00:00:00,SUR7426,FOR2187,MID6828,PSUR6061,FSUR1362,d583cd18-518,e91b5748-1f6,0c11c1e5-8,F,2024-Apr-17 00:00:00,1,2290e5a9,d3d0d8b5,742.0,,False,False,136.0,True,True,e8ca6c3d,,49ad53ef,,,,,,,,,,,E,E1,No,,
013dbd2f-629,SCH6,2008-Jun-18 00:00:00,SUR1637,FOR9498,MID6138,PSUR7554,FSUR5538,60b7a50c-986,41844dcb-e1b,ab03ca61-2,M,2025-Feb-28 00:00:00,1,bf482c01,bcac753c,802.0,False,False,False,133.0,True,False,2c1b86bc,,66b34e4b,,,False,,,,,M,N,,K,12,,RE,
013e6c4a-b75,SCH6,2010-Aug-10 00:00:00,SUR9796,FOR2608,MID1753,PSUR7636,FSUR6981,6db999b2-fae,9a039fda-4b1,ffa015a5-3,M,2019-Apr-11 00:00:00,1,d90c7a7d,dd0260f2,718.0,True,True,False,123.0,False,False,9d88a1e1,,4e78b0b2,,,,,,ENG,,F,,R,,3,,,
01488c87-02d,SCH2,2019-Jun-08 00:00:00,SUR1259,FOR8441,MID7254,PSUR7196,FSUR4824,c430a210-8ba,9094c961-185,bdb72135-9,F,2024-Apr-15 00:00:00,1,91b36261,61eae85b,741.0,True,True,False,134.0,False,False,9fbaec0e,,d4b13c37,,,,,,GAL,,,,N,,3,No,,
0154b5e1-bf5,SCH2,2012-Sep-10 00:00:00,SUR5207,FOR9595,MID4072,PSUR7250,FSUR3924,688f4806-861,ad84cc74-532,b3245f4b-5,F,2018-Dec-13 00:00:00,1,73574267,bf79dc3a,767.0,,False,False,131.0,False,False,c661f71a,,57b75405,,,,Unsought,,BNG,,F,,C,N,8,,,
01564caa-913,SCH6,2014-Apr-23 00:00:00,SUR4530,FOR6270,MID9897,PSUR4202,FSUR5096,f12d68e2-d8c,2ff98c6a-dac,7ff95b87-3,F,2020-Jun-18 00:00:00,1,a92cbc6c,8445a2a1,816.0,True,True,False,130.0,False,False,7d45cdc5,,2035c23f,,,False,Yes,,,,O,,,N,8,,,
015a50c2-e95,SCH3,2007-Oct-05 00:00:00,SUR6730,FOR8456,MID5767,PSUR9128,FSUR6752,07a48c66-887,2c79bbc5-5aa,79a04124-6,F,2025-Jan-20 00:00:00,1,4066f82f,00bff561,817.0,True,False,False,127.0,False,False,c391cba6,,c137eb0e,,,,,N,ENG,,,,A,,10,,RE,
015e1d34-e1e,SCH6,2019-Mar-23 00:00:00,SUR9814,FOR8153,MID1556,PSUR5788,FSUR8575,1ee79213-f92,62edd98d-faa,24f741e8-b,F,2023-Mar-12 00:00:00,1,46156b19,cbc4e20b,776.0,True,False,False,130.0,True,False,71c7d139,,2bcf5e35,,,,,,GAL,,M,,,,12,,RO,
015e2ada-f29,SCH8,2019-Apr-28 00:00:00,SUR3121,FOR3995,MID8967,PSUR4144,FSUR6241,ddc3e8c6-8ad,2f57ffad-193,f982a83a-0,M,2021-Apr-28 00:00:00,1,48aa2911,6192fe42,792.0,True,False,False,130.0,False,False,d2f8ef0e,,4ce6bb5f,,,,,N,ENG,,,,,E,9,,,
0162b45c-a58,SCH7,2010-Sep-10 00:00:00,SUR9585,FOR7125,MID1358,PSUR7943,FSUR5521,1805555a-42f,4cb3c46b-318,091c6ec3-8,M,2023-Feb-06 00:00:00,1,da908ec6,fd153c77,797.0,True,False,False,132.0,False,False,79f5eb44,,4b1e6412,,,False,,,ENG,,,N,,,4,No,,
016343eb-e88,SCH7,2018-Feb-20 00:00:00,SUR7147,FOR4304,MID2566,PSUR9314,FSUR6974,d2e80d2f-6ce,7b4df32f-bb4,f2f23045-c,M,2022-Jun-24 00:00:00,1,facd73eb,5a88c279,764.0,True,False,False,123.0,True,True,46e065bc,,bb3469d0,,,,,,ENG,,,,N,,3,,,
01645986-534,SCH8,2020-Apr-25 00:00:00,SUR6281,FOR9093,MID7331,PSUR7949,FSUR1523,7c1e2f1e-923,ec767606-960,59bb993e-c,F,2022-Jan-23 00:00:00,1,ad32fad2,e6eee1e6,814.0,,False,,129.0,False,False,7bb7312c,13.0,da4819dc,,,,,,CYM,,,,,P,8,,,
016a3e1b-2a5,SCH7,2015-Sep-23 00:00:00,SUR9487,FOR4357,MID3689,PSUR2691,FSUR5678,66efc2b6-6ab,832d6a71-35b,6856142d-a,F,2024-Apr-21 00:00:00,1,02c763da,b3805724,781.0,True,True,True,141.0,,False,66ea182d,,2d732021,,,,,,ENG,,O,,A,,14,,,
016e97a4-301,SCH8,2012-Sep-26 00:00:00,SUR7078,FOR8769,MID5676,PSUR3490,FSUR9523,da7f4278-df5,391448e6-8a1,9eb31cb2-c,F,2021-May-15 00:00:00,1,d1d24ad8,3f0fee55,784.0,True,False,True,126.0,False,False,d76b4e88,,aa8e3422,,,,,,ENG,,S,,,N,M,Yes,,
017aa6c2-fe1,SCH6,2010-Mar-13 00:00:00,SUR6125,FOR6148,MID4767,PSUR8508,FSUR2176,b374c66f-999,ea810420-f66,84f5986a-6,F,2022-Apr-14 00:00:00,1,c66a373c,5077b04b,777.0,True,False,False,124.0,False,False,57b86b16,6.0,5366e182,,,False,Yes,,ENG,,,,R,E,14,,RB,6.0
017fffe4-75c,SCH8,2017-Jul-15 00:00:00,SUR5878,FOR6025,MID2430,PSUR1473,FSUR8796,067b6133-29d,0f850c72-1ed,4031589b-f,M,2022-May-03 00:00:00,1,cf02e1df,2f7af9af,785.0,,,True,,False,False,b4e9dab6,,1c82aa61,,,,,,ENG,,,,,E,10,,,
0183bc4b-6ce,SCH2,2019-Oct-26 00:00:00,SUR2151,FOR9240,MID7915,PSUR3239,FSUR2597,26d241f9-fdb,136cbaa6-be4,f960b959-c,F,2019-Jul-08 00:00:00,1,c9662522,4c08fc64,851.0,True,False,True,128.0,False,False,1cc600f4,,9366998f,,,,No,Y,ENG,,F,,A,,8,No,RO,
0185afe5-85c,SCH2,2008-May-09 00:00:00,SUR3733,FOR4761,MID1367,PSUR5600,FSUR9915,1dc7e11b-698,6cefc0c7-6d6,999f40ac-a,M,2020-Oct-05 00:00:00,1,e12e7121,ac55c195,840.0,True,True,False,132.0,False,False,6e9639e5,,45071494,,,,,,ENG,,M,,A,,N2,,,
01861a4b-993,SCH1,2012-Jun-09 00:00:00,SUR4404,FOR4429,MID2158,PSUR8938,FSUR6112,51631215-ef6,8ab862a3-787,178c218a-3,M,2023-May-28 00:00:00,1,3e87f575,14203ed2,720.0,True,False,,123.0,False,False,a01cbd79,,3f9d78e1,,,,,,ENG,,,,,,13,,,
0188f245-602,SCH8,2018-Jun-20 00:00:00,SUR9041,FOR6186,MID6010,PSUR3251,FSUR4424,ccf07281-2ed,05416fac-93e,3610dca0-9,M,2022-Apr-11 00:00:00,1,17591cf9,981befff,802.0,True,False,False,130.0,False,False,1fe5bca0,,a42426e4,,,,,N,ENG,,S,,,S,10,,,
01978053-3b0,SCH8,2010-Sep-25 00:00:00,SUR8750,FOR4707,MID8707,PSUR6856,FSUR5121,3afa7631-fc0,921799de-b4e,fb68be39-2,F,2025-May-21 00:00:00,1,c91c5f83,97b7528e,781.0,True,False,False,129.0,False,False,16440f12,,90421584,,,False,,,RUS,,C,,N,,1,,,
019cfc62-962,SCH7,2009-Jun-30 00:00:00,SUR4620,FOR8191,MID7078,PSUR6841,FSUR9201,ae1fe244-58c,df34da76-c66,004d06f7-f,M,2025-Jul-08 00:00:00,1,d9521152,9f270e3d,745.0,,False,False,131.0,False,False,2cac453a,,a25824b6,,,,Unsought,N,ENG,,,,A,,10,,,
019df92f-194,SCH7,2020-Jul-13 00:00:00,SUR2835,FOR6251,MID5821,PSUR8218,FSUR8168,2d7cb936-ba2,c5e29a73-642,f5d52a82-7,F,2022-Jan-28 00:00:00,1,2d251031,093d75ae,747.0,,False,False,136.0,False,False,e24389dc,,d2558dfb,,,,,Y,RUS,,M,B,G,P,14,,,
01a0b4d1-79b,SCH8,2017-Aug-20 00:00:00,SUR6708,FOR4092,MID7602,PSUR2822,FSUR1257,5a800afe-400,8a669960-bd1,20416368-c,F,2019-Oct-05 00:00:00,1,347a22a6,b87f3c70,813.0,,True,,130.0,False,False,7b4bd20c,,c320d657,,,,,R,CYM,,O,,,A,3,,,
01aa8772-70d,SCH2,2007-Sep-28 00:00:00,SUR2712,FOR7244,MID3126,PSUR8302,FSUR9978,1f02d399-0e3,5e326d09-cb1,8f4d9ac2-e,M,2022-May-07 00:00:00,1,2e376bf6,362639e3,750.0,True,False,False,132.0,False,False,3eb2f66c,,39ab0c26,,,False,,,ENG,O,,,C,,12,,,
01ab75f8-504,SCH1,2018-Jul-04 00:00:00,SUR5936,FOR5251,MID9131,PSUR5451,FSUR1124,ff2f7511-ef9,5195a0aa-ac9,51e43981-9,M,2023-Oct-06 00:00:00,1,ae9a3527,a20a01ea,758.0,True,False,False,130.0,False,True,502645a3,,c8dde7da,,,True,"Sought, no reply",,ENG,,M,,N,,5,,RE,
01af0693-90a,SCH7,2010-Jan-28 00:00:00,SUR4341,FOR3199,MID5994,PSUR1693,FSUR9387,19f6ce7c-42e,ad6e521b-527,fb91a666-9,M,2024-Jul-29 00:00:00,1,762957ae,732c5224,793.0,True,,True,132.0,False,False,85185619,,44bce351,,,,,,ENG,,,,C,,13,,RE,
01b4b057-87a,SCH5,2019-Jan-12 00:00:00,SUR6414,FOR9627,MID8283,PSUR7745,FSUR3463,a3f97ac3-b30,ba32b8f6-2ed,d337f620-3,M,2023-Dec-15 00:00:00,1,3c94c6d5,b130c12c,789.0,True,False,True,135.0,False,False,f6453e72,,8d932fcb,,,,"Sought, no reply",Y,ENG,,F,N,,,8,Yes,,
01cc47ac-658,SCH1,2017-Dec-02 00:00:00,SUR6420,FOR2854,MID6092,PSUR8747,FSUR5297,a83e5a6a-356,03ab3084-dd8,a39b067f-9,M,2023-Oct-06 00:00:00,1,60875008,144b213c,794.0,True,False,False,134.0,False,True,7ffa2d56,,fdd3d608,,,True,,,ENG,,,,,,11,No,,
01da4f0d-44e,SCH3,2010-Sep-02 00:00:00,SUR4215,FOR7683,MID4062,PSUR8227,FSUR4386,e1f41722-16e,aad1eba1-dde,0b6d4b4c-7,F,2018-Dec-02 00:00:00,1,e2ad6cda,694ad2be,758.0,True,False,,132.0,True,False,9a0faedf,,650cea08,,,,,,ENG,,O,,,K,2,,,7.0
01dfc5f8-834,SCH6,2019-Jul-03 00:00:00,SUR4855,FOR9474,MID6248,PSUR4029,FSUR6469,feaf306f-955,c57c7ce8-2da,f3f16822-f,M,2025-Jul-09 00:00:00,1,ea057aed,2d43d68a,746.0,False,False,False,128.0,False,False,95b60ac3,,cb23159d,,,,,U,CHI,,,,,,4,,RB,9.0
01ebda30-5a0,SCH2,2015-Jan-12 00:00:00,SUR2874,FOR6671,MID6216,PSUR7275,FSUR6763,bb1771e5-300,234aceb4-af3,56ba67b2-0,M,2024-Aug-10 00:00:00,1,9276e268,0b8f9946,762.0,True,False,False,135.0,,False,079fb6ef,,9cc8757a,,,,Unsought,,ENG,,M,,C,,10,,,
01ed06bc-72e,SCH3,2018-Jun-13 00:00:00,SUR4234,FOR9310,MID4390,PSUR1880,FSUR2860,c2a5ba41-552,c3b3a417-998,ef7f36d1-c,M,2024-Dec-20 00:00:00,1,d2e42a36,f942b8b9,785.0,False,False,False,128.0,True,False,606c1b17,,7219ed12,,,False,No,,,,O,,,,R,No,,
0200b7ed-ca9,SCH1,2015-Sep-03 00:00:00,SUR3880,FOR9795,MID7882,PSUR5048,FSUR9731,0e772549-6f6,13924a3d-1af,8450154b-e,F,2024-Mar-06 00:00:00,1,fda8e025,72a829fb,750.0,False,False,True,135.0,False,True,6a0e8075,,d68d1d9f,,,False,,N,PNJA,,M,,C,A,9,,RO,
0207ff07-7f7,SCH3,2012-Feb-06 00:00:00,SUR4324,FOR6320,MID4096,PSUR6432,FSUR5866,f2414779-b9f,98025ffe-35d,7a5dd6df-b,M,2023-Nov-09 00:00:00,1,de3dcf1b,ab55af3c,890.0,,True,False,127.0,False,False,0762c170,,aed46678,,,,,,PNJA,,S,,,,1,,,7.0
0209d767-3ec,SCH2,2020-Aug-14 00:00:00,SUR2141,FOR7252,MID7353,PSUR6238,FSUR4486,c3f3c98f-94c,05298d98-fa9,febea94a-2,M,2023-Jan-29 00:00:00,1,9b2b9bf8,0cb94d4c,792.0,True,False,False,125.0,False,False,089eea24,,b862aa3a,,,False,,U,ENG,,O,,C,K,E2,Yes,,
020de71c-5f0,SCH2,2012-Mar-28 00:00:00,SUR4291,FOR2877,MID9413,PSUR7722,FSUR1054,02611af4-4de,38a7d392-534,434eefdc-2,M,2020-Jul-01 00:00:00,1,d09cf4f3,215c1f02,758.0,True,False,False,125.0,True,False,f73441c5,,d77d5885,,,,,,RUS,,,,,,13,,,
